content	x	y	w	h	
218-19	232	192	97	30	
]	328	192	14	30	
218	270	256	100	28	
SANCTIFICATION	466	199	235	18	
.	706	199	6	18	
S.	456	254	27	23	
M.	504	254	40	23	
W.	626	252	45	27	
Thompson	686	252	157	30	
.	847	255	10	27	
THE	510	311	59	18	
SAME	588	311	74	18	
.	667	311	6	18	
WHY	313	356	141	50	
should	459	350	100	52	
I	566	346	16	55	
fear	591	345	61	53	
thy	659	342	52	54	
foes	718	340	65	53	
,	778	338	12	56	
Or	412	392	38	23	
tremble	460	392	110	23	
at	585	392	26	23	
the	624	392	42	23	
sound	680	392	84	23	
?	775	392	15	23	
The	312	429	55	28	
Lord	382	429	71	29	
my	465	430	43	29	
God	520	431	58	28	
I've	592	432	63	28	
set	671	433	38	28	
apart	723	433	75	29	
He	363	469	41	30	
guards	417	468	95	30	
my	526	467	45	31	
soul	584	466	58	31	
around	656	465	99	31	
.	759	464	8	31	
2	269	518	18	30	
Though	309	518	114	30	
I	435	518	13	30	
am	461	518	41	30	
poor	516	518	65	30	
and	594	518	51	30	
weak	659	518	78	30	
,	741	518	6	30	
And	346	557	63	27	
lame	420	557	72	27	
,	495	557	6	27	
and	517	557	52	27	
blind	580	557	73	27	
withal	667	557	93	27	
,	763	557	7	27	
Through	308	594	122	31	
God	445	594	58	31	
my	517	594	44	31	
soul	574	594	58	31	
shall	645	594	69	31	
never	725	594	82	31	
faint	815	594	70	31	
,	886	594	8	31	
Nor	345	633	56	22	
shall	413	633	67	22	
I	492	633	13	22	
ever	515	633	61	22	
fall	589	633	46	22	
.	636	633	9	22	
3	268	680	17	29	
This	308	680	64	30	
all	387	681	37	29	
my	434	681	45	30	
answer	493	682	104	30	
is	607	683	22	30	
,	633	684	6	29	
When	344	717	90	29	
reasons	447	718	107	30	
are	570	719	44	29	
required	625	719	118	31	
,	748	721	7	29	
Why	306	759	75	30	
such	392	759	63	30	
a	470	759	16	30	
wretch	498	759	95	30	
as	610	759	28	30	
I	651	759	11	30	
should	676	759	94	30	
hope	783	759	69	30	
:	862	759	9	30	
My	343	797	48	30	
God	407	797	60	30	
my	479	797	43	30	
hope	531	797	69	30	
inspired	614	797	117	30	
.	734	797	7	30	
4	268	845	18	28	
Let	308	845	54	28	
proud	373	845	81	28	
imperial	468	845	121	29	
kings	602	846	77	28	
Their	345	882	80	30	
bloody	435	882	101	31	
swords	548	883	99	31	
display	661	885	104	30	
;	778	886	8	30	
Or	306	922	39	32	
erring	355	922	85	32	
sects	453	922	70	32	
,	525	922	6	32	
with	546	922	65	32	
flattering	624	922	134	32	
baits	770	922	72	32	
,	843	922	9	32	
More	345	957	77	29	
subtle	436	958	86	29	
far	535	959	41	29	
than	585	959	65	30	
they	663	960	62	30	
:	738	961	9	29	
5	268	1008	17	28	
Let	310	1008	51	28	
earth	374	1009	74	28	
and	462	1010	51	28	
Satan	527	1010	84	29	
join	622	1011	59	29	
,	684	1012	7	28	
And	343	1043	62	28	
death	422	1045	79	28	
and	515	1047	52	28	
sin	581	1049	39	28	
annoy	637	1051	89	28	
:	737	1053	9	27	
In	306	1084	30	29	
God	352	1084	59	30	
alone	426	1085	78	30	
I	518	1086	13	29	
put	543	1087	47	29	
my	601	1087	43	30	
trust	658	1088	66	30	
He	344	1124	41	29	
gives	397	1124	75	29	
me	485	1124	41	29	
inward	540	1125	104	29	
joy	652	1125	50	29	
.	703	1126	8	29	
6	266	1169	16	31	
Ye	305	1169	42	32	
Saints	364	1170	90	32	
lift	466	1172	42	31	
up	521	1172	33	32	
your	567	1173	66	32	
heads	643	1174	83	32	
,	730	1176	7	31	
Let	343	1210	51	30	
joy	403	1211	48	30	
fill	464	1212	37	30	
every	515	1213	75	31	
heart	604	1214	75	31	
;	688	1216	8	30	
For	306	1250	52	30	
as	371	1250	29	30	
your	412	1250	67	30	
never	490	1250	79	30	
-	572	1250	8	30	
failing	581	1250	94	30	
all	686	1250	36	30	
,	724	1250	7	30	
You	341	1285	62	29	
have	416	1286	67	30	
set	498	1287	39	30	
God	551	1288	58	30	
apart	624	1290	75	30	
.	703	1291	5	29	
ADOPTION	485	1365	192	23	
.	683	1365	7	23	
197	903	193	49	21	
219	267	1413	100	28	
S.	449	1415	29	22	
M.	497	1415	38	22	
Watts	618	1415	95	22	
.	718	1416	8	22	
HUMILITY	227	1459	147	19	
OF	388	1459	31	19	
SOUL	438	1459	73	19	
UNDER	527	1459	93	19	
THE	640	1459	58	19	
HOPE	718	1459	76	19	
OF	810	1459	31	19	
ADOP	861	1459	71	19	
.	936	1459	8	19	
TION	336	1497	68	16	
.	408	1498	6	16	
John	449	1490	68	26	
III	533	1493	34	24	
,	569	1494	6	24	
1.	595	1495	23	24	
Gal	661	1490	52	25	
.	716	1491	5	24	
IV	744	1492	29	25	
,	779	1493	5	24	
6	803	1494	13	24	
.	823	1494	5	24	
EHOLD	360	1526	128	31	
,	492	1527	6	30	
what	513	1527	72	31	
wonderous	599	1528	155	32	
grace	768	1530	80	31	
On	303	1601	43	26	
sinners	360	1601	99	28	
of	474	1603	31	27	
a	516	1604	14	26	
mortal	543	1605	95	27	
race	651	1607	60	26	
,	713	1608	7	26	
To	342	1641	39	25	
call	396	1641	52	25	
them	460	1642	71	25	
sons	546	1642	60	26	
of	625	1643	31	25	
God	666	1643	58	26	
.	728	1644	8	25	
