content	x	y	w	h	
56	307	188	70	36	
THE	417	260	109	46	
PRIZE	556	260	163	46	
IS	751	260	47	46	
SET	831	260	99	46	
BEFORE	962	260	210	46	
US	1206	260	62	46	
.	1276	260	7	46	
(	1343	260	17	46	
49.	1363	260	65	46	
)	1428	260	19	46	
bb	429	341	58	56	
4	502	354	34	52	
4	502	407	34	37	
-2	404	743	35	35	
-	417	742	30	36	
₂	442	740	26	36	
-	471	738	37	36	
4	503	736	37	36	
25	432	1220	64	50	
22	411	1264	59	38	
bb	412	1813	61	44	
1.	483	508	31	35	
The	537	508	73	35	
prize	626	508	94	35	
is	761	508	28	35	
set	816	508	50	35	
be	909	508	41	35	
-	953	508	10	35	
fore	968	508	75	35	
us-	1070	508	75	26	
To	1162	505	49	39	
win	1230	505	66	39	
,	1304	505	8	39	
our	1325	505	66	39	
Lord	1402	505	90	39	
implore	1503	505	149	39	
us	1665	505	40	39	
!	1716	505	9	39	
The	1768	505	73	39	
eye	1856	505	63	39	
of	1960	505	40	39	
God	2013	505	73	39	
is	2120	505	26	39	
o'er	2171	505	70	39	
us	2268	505	38	39	
From	2323	505	105	39	
on	2441	505	46	39	
2.	483	547	34	38	
We	539	547	64	38	
follow	641	547	120	38	
where	776	547	114	38	
He	901	547	53	38	
leadeth	966	547	137	38	
-	1108	547	32	38	
We	1150	547	61	38	
pasture	1221	547	141	38	
where	1373	547	114	38	
He	1499	547	53	38	
feedeth	1563	547	132	38	
-	1701	547	29	38	
We	1745	547	59	38	
yield	1815	547	94	38	
to	1920	547	36	38	
Him	1971	547	85	38	
who	2071	547	78	38	
pleadeth	2160	547	160	38	
From	2336	547	105	38	
on	2451	547	48	38	
3.	484	586	31	39	
Our	536	586	76	39	
home	620	586	111	39	
is	757	586	28	39	
bright	798	586	117	39	
a	927	586	18	39	
-	948	586	10	39	
bove	962	586	90	39	
us	1066	586	40	39	
;	1117	586	7	39	
No	1150	586	53	39	
tri	1240	586	46	39	
-	1300	586	13	39	
als	1329	586	50	39	
there	1391	586	98	39	
to	1500	586	35	39	
move	1549	586	103	39	
us	1668	586	39	39	
,	1712	586	5	39	
But	1737	586	70	39	
Christ	1818	586	114	39	
our	1944	586	64	39	
Lord	2020	586	90	39	
to	2120	586	35	39	
love	2168	586	82	39	
us	2261	586	39	39	
,	2304	586	8	39	
Dwells	2317	586	127	39	
on	2455	586	44	39	
P	535	959	16	14	
LOVE	1202	197	114	24	
AND	1338	197	91	24	
PRAISE	1453	197	158	24	
.	1618	197	9	24	
high	507	1035	86	38	
,	598	1035	6	38	
from	622	1035	88	38	
on	744	1035	46	38	
high	808	1035	83	38	
!	905	1035	8	38	
His	952	1035	64	38	
lov-	1060	1035	82	38	
ing	1155	1035	60	38	
tones	1233	1035	99	38	
are	1364	1035	59	38	
fall	1443	1035	60	38	
-	1508	1035	10	38	
ing	1528	1035	61	38	
,	1593	1035	5	38	
While	1617	1035	119	38	
sin	1756	1035	56	38	
is	1866	1035	30	37	
dark	1941	1034	85	37	
,	2031	1033	7	38	
ap-	2084	1033	57	37	
pall	2160	1032	71	37	
-	2236	1031	9	38	
ing	2250	1031	60	38	
;	2323	1030	7	38	
high	507	1074	85	37	
,	598	1074	6	37	
from	623	1074	87	37	
on	743	1074	45	37	
high	808	1074	82	37	
!	904	1074	9	37	
For	951	1074	68	37	
naught	1031	1074	136	37	
from	1180	1074	86	37	
him	1281	1074	74	37	
can	1369	1074	62	37	
sev	1445	1074	57	37	
-	1518	1074	12	37	
er	1544	1074	35	37	
;	1587	1074	8	37	
Our	1628	1074	72	37	
hope	1742	1074	93	37	
shall	1847	1074	92	37	
bright	1950	1074	118	37	
-	2071	1074	11	37	
en	2087	1074	41	37	
ev-	2175	1074	69	37	
er	2267	1074	36	37	
;	2312	1074	8	37	
high	507	1113	87	38	
,	597	1113	7	38	
dwells	623	1113	122	38	
on	755	1113	43	38	
high	815	1113	84	38	
!	913	1113	8	38	
We	951	1113	63	38	
give	1053	1113	78	38	
our	1154	1113	63	38	
best	1244	1113	76	38	
en	1362	1113	38	38	
-	1408	1113	11	38	
deav-	1423	1113	100	38	
or	1537	1113	38	38	
;	1583	1113	9	38	
We	1630	1113	62	38	
praise	1734	1113	113	38	
his	1863	1113	54	38	
name	1948	1113	106	38	
for	2084	1113	52	38	
-	2149	1113	14	38	
ev	2175	1113	40	38	
-	2230	1113	14	38	
er	2266	1113	36	38	
;	2309	1113	9	38	
*	646	1219	27	23	
.	672	1219	15	23	
-	591	1606	11	3	
FP	915	1476	179	73	
Je	533	1587	45	37	
sus	618	1587	61	37	
gently	693	1587	181	37	
call	899	1587	66	37	
-	970	1587	12	37	
ing	991	1587	62	37	
-	1056	1587	29	37	
He	1096	1587	56	37	
is	1192	1587	29	37	
faith	510	1629	87	27	
shall	611	1628	93	28	
fail	714	1628	62	27	
us	839	1633	41	26	
never	904	1634	137	29	
,	1044	1638	7	26	
He	1098	1628	54	33	
is	1194	1628	28	33	
precious	524	1668	160	36	
words	700	1668	111	36	
can	824	1668	63	36	
nev-	904	1668	90	36	
er	1005	1668	35	36	
,	1042	1668	6	36	
Nev-	1083	1668	88	36	
er	1189	1668	34	36	
正	817	1748	195	120	
nigh	1257	1587	85	37	
,	1347	1587	7	37	
he	1372	1587	45	37	
nigh	1260	1628	84	34	
,	1350	1629	8	33	
he	1374	1629	46	33	
die	1267	1668	55	36	
,	1325	1668	8	36	
nev	1363	1668	69	36	
-	1447	1685	9	5	
DR	1998	274	55	24	
.	2060	274	7	24	
H.	2088	274	41	24	
R.	2151	274	37	24	
PALMER	2212	274	161	24	
.	2380	274	8	24	
CHORUS	1657	1385	156	29	
.	1816	1385	9	29	
By	1289	1898	45	32	
permission	1346	1898	189	32	
.	1539	1898	9	32	
FE	1955	1285	172	65	
93	2431	700	19	12	
'	2374	1030	11	38	
Tis	2386	1030	56	38	
And	2377	1075	84	24	
His	2386	1115	65	25	
트	2060	1423	102	109	
is	1484	1586	30	36	
nigh	1531	1585	87	36	
.	1623	1583	10	37	
By	1669	1583	54	36	
and	1758	1582	72	36	
by	1858	1580	48	37	
we	1961	1585	50	35	
shall	2026	1584	93	36	
meet	2130	1584	91	35	
Him	2237	1583	83	36	
,	2328	1582	6	36	
By	2341	1582	50	36	
and	2416	1582	70	36	
is	1487	1627	29	33	
nigh	1533	1628	83	36	
.	1623	1631	7	33	
er	1482	1671	36	27	
die	1544	1668	58	27	
.	1606	1666	8	29	
