content	x	y	w	h	
No.	231	236	86	42	
50.	340	235	74	42	
JOY	527	232	108	49	
COMETH	665	232	241	49	
IN	937	232	63	49	
THE	1033	232	118	49	
MORNING	1186	232	275	49	
!	1475	232	15	49	
"	306	340	18	32	
Weeping	333	340	150	32	
may	495	340	74	32	
endure	581	340	116	32	
for	709	340	47	32	
a	768	340	17	32	
night	799	340	88	32	
,	893	340	5	32	
but	912	340	55	32	
joy	977	340	54	32	
cometh	1045	340	125	32	
in	1184	340	31	32	
the	1230	340	54	32	
morning	1296	340	147	32	
.	1446	340	9	32	
"	1460	340	14	32	
Psalm	1508	340	104	32	
30	1623	340	32	32	
:	1665	340	8	32	
5	1688	340	16	32	
.	1706	340	7	32	
MRS	263	395	72	24	
.	339	395	6	24	
M.	360	395	40	24	
M.	414	395	41	24	
WEINLAND	471	395	233	24	
.	707	395	7	24	
E.	1501	397	35	23	
S.	1547	397	29	23	
LORENZ	1592	397	161	24	
.	1757	398	7	23	
4	369	484	34	36	
9b	218	953	136	45	
-	328	943	60	52	
4	345	942	62	52	
2-64	292	994	110	36	
9	221	1661	73	56	
THE	1166	481	286	88	
1.	359	654	33	44	
Oh	418	654	53	44	
,	476	654	7	44	
wea	515	654	76	44	
-	598	654	15	44	
ry	626	654	42	44	
pil	698	654	54	44	
-	755	654	14	44	
grim	769	654	88	44	
,	867	654	7	44	
lift	889	654	61	44	
your	964	654	93	44	
head	1068	654	90	44	
,	1164	654	6	44	
For	1185	654	71	44	
joy	1267	654	60	44	
cometh	1339	654	138	44	
in	1498	654	36	44	
the	1552	654	60	44	
morning	1625	654	166	44	
!	1800	654	11	44	
2.	359	705	35	43	
Ye	419	705	53	43	
fee	518	705	53	43	
-	582	706	13	43	
ble	604	706	58	43	
saints	672	706	113	43	
,	789	707	5	43	
dismiss	806	707	142	43	
your	967	707	91	44	
fears	1066	708	93	43	
,	1165	708	6	43	
For	1187	708	68	44	
joy	1266	709	59	43	
cometh	1341	709	141	44	
in	1501	710	36	43	
the	1557	710	61	43	
morning	1627	711	166	43	
!	1799	711	10	43	
3.	360	766	31	27	
Let	419	766	66	27	
ev'ry	529	765	149	44	
tear	694	765	77	44	
-	778	765	16	44	
ful	804	765	54	44	
eye	894	765	63	44	
be	995	765	42	44	
dry	1070	765	65	44	
,	1137	765	8	44	
4.	358	816	35	43	
Our	418	816	75	43	
God	510	816	78	44	
will	608	817	74	43	
wipe	703	817	88	44	
our	807	818	66	43	
tears	888	818	91	43	
a	998	819	20	43	
-	1031	819	12	43	
way	1060	819	75	43	
,	1140	819	7	43	
For	1185	765	70	44	
joy	1265	765	60	44	
cometh	1338	765	141	44	
in	1497	765	38	44	
the	1552	765	62	44	
morning	1626	765	167	44	
!	1800	765	10	44	
For	1182	820	68	43	
joy	1264	820	59	43	
cometh	1339	820	138	44	
in	1496	821	37	43	
the	1552	821	61	44	
morning	1623	822	167	43	
!	1801	823	10	43	
12	1580	931	99	127	
-9-2	288	1712	76	37	
gibt	242	2181	117	105	
22	315	2206	28	33	
9h	220	2750	136	53	
-b	292	2793	26	33	
J	421	1210	89	77	
#	704	1166	126	104	
For	408	1366	70	42	
God	497	1366	77	42	
in	607	1366	38	42	
his	681	1366	55	42	
own	769	1366	79	42	
word	861	1366	95	42	
has	970	1366	63	42	
said	1046	1366	76	42	
That	1137	1366	93	42	
joy	1241	1366	59	42	
cometh	1319	1366	141	42	
in	1475	1366	37	42	
the	1530	1366	60	42	
morning	1604	1366	165	42	
.	1770	1366	10	42	
And	405	1422	87	43	
weeping	500	1421	161	44	
mourners	670	1420	184	44	
,	858	1420	5	44	
dry	876	1420	62	43	
your	950	1419	91	44	
tears	1052	1419	92	44	
,	1149	1418	6	44	
For	1168	1418	70	44	
joy	1244	1418	60	44	
cometh	1322	1418	142	43	
in	1476	1417	36	44	
the	1530	1417	60	44	
morning	1604	1417	164	43	
.	1772	1416	9	44	
And	405	1475	85	43	
ev'ry	507	1475	143	43	
trembling	667	1475	195	43	
sin	876	1475	54	43	
-	935	1475	11	43	
ner	950	1475	62	43	
hope	1029	1475	92	43	
,	1124	1475	7	43	
For	1148	1475	66	43	
joy	1245	1475	59	43	
cometh	1321	1475	142	43	
in	1476	1475	36	43	
the	1531	1475	60	43	
morning	1605	1475	165	43	
.	1772	1475	9	43	
Sor	406	1532	67	43	
-	480	1532	17	43	
row	506	1532	70	43	
and	596	1532	70	43	
sigh	683	1532	78	43	
-	766	1532	12	43	
ing	779	1532	62	43	
flee	859	1532	64	43	
a	963	1532	21	43	
-	999	1532	15	43	
way	1030	1532	77	43	
,	1111	1532	6	43	
For	1142	1532	69	43	
joy	1240	1532	61	43	
cometh	1319	1532	142	43	
in	1474	1532	36	43	
the	1527	1532	61	43	
morning	1602	1532	167	43	
.	1769	1532	10	43	
CHORUS	342	1869	197	20	
.	544	1865	12	24	
कुछ	1076	1856	98	167	
Joy	385	2059	73	45	
cometh	466	2059	142	45	
in	628	2059	36	45	
the	682	2059	61	45	
morning	757	2059	167	45	
!	935	2059	10	45	
Joy	967	2059	74	45	
cometh	1054	2059	143	45	
in	1210	2059	36	45	
the	1261	2059	60	45	
morning	1334	2059	166	45	
!	1513	2059	8	45	
Weeping	1531	2059	111	45	
may	1656	2059	82	45	
en	1748	2059	45	45	
€	860	2119	51	61	
€	966	2132	56	62	
4	559	2192	128	107	
-2	402	2170	41	28	
.	434	2170	26	28	
