content	x	y	w	h	
832	309	392	117	39	
2²6-2	377	797	110	37	
3	456	505	41	38	
2	456	551	38	34	
1.	418	646	31	38	
When	472	646	116	38	
all	605	647	49	38	
thy	703	647	64	39	
mer	792	648	73	38	
-	869	648	9	38	
cies	883	648	67	39	
,	953	649	10	38	
O	980	649	28	38	
833	302	1875	113	39	
2	300	1324	24	38	
0	347	1324	28	38	
how	392	1324	79	38	
can	489	1324	64	38	
words	572	1324	112	38	
with	702	1324	87	38	
equal	807	1324	106	38	
warmth	929	1324	150	38	
The	391	1370	74	36	
gratitude	480	1369	181	36	
declare	678	1368	138	36	
That	347	1413	92	37	
glows	454	1412	108	37	
within	580	1411	126	38	
my	725	1411	59	37	
ravished	801	1410	165	37	
heart	986	1409	103	38	
?	1094	1409	17	38	
But	390	1456	75	30	
thou	479	1456	88	30	
canst	584	1456	98	30	
read	698	1456	81	30	
it	796	1456	30	30	
there	844	1456	99	30	
!	953	1456	11	30	
2	394	1978	39	32	
4	392	2025	39	33	
-	569	1095	11	4	
3	300	1519	24	40	
Ten	347	1519	73	40	
thousand	436	1519	178	42	
thousand	631	1521	175	41	
precious	825	1522	159	41	
gifts	998	1523	85	41	
My	390	1569	65	38	
daily	471	1569	98	38	
thanks	586	1569	132	38	
employ	734	1569	139	38	
;	887	1569	9	38	
Nor	346	1611	75	34	
is	434	1611	30	34	
the	481	1611	60	34	
least	556	1611	91	34	
a	663	1611	19	34	
cheerful	699	1611	155	34	
heart	872	1611	100	34	
,	975	1611	8	34	
That	391	1654	93	38	
tastes	501	1654	107	39	
those	623	1655	99	38	
gifts	738	1655	83	39	
with	838	1656	88	38	
joy	938	1656	63	39	
.	1004	1657	10	38	
THE	1009	310	108	33	
CLOSET	1153	310	200	33	
.	1358	310	9	33	
GENEVA	975	390	229	44	
.	1205	388	10	45	
C.	1271	388	41	45	
M.	1332	388	58	45	
7	751	899	91	96	
port	453	1082	82	31	
ed	617	1078	41	27	
with	715	1075	87	33	
the	845	1075	62	33	
view	929	1075	85	33	
,	1020	1075	7	33	
I'm	1073	1075	66	33	
lost	1156	1075	71	33	
**	851	1120	117	28	
4	300	1722	22	41	
Through	346	1722	166	41	
every	532	1722	104	41	
period	653	1722	120	41	
of	790	1722	38	41	
my	848	1722	61	41	
life	923	1722	67	41	
Thy	391	1765	79	39	
goodness	485	1766	170	40	
I'll	671	1768	61	39	
pursue	747	1769	131	40	
;	890	1770	9	39	
0	311	2198	66	38	
:	356	2198	31	38	
2	391	2198	43	38	
1.	420	2099	30	30	
Father	474	2099	166	32	
,	642	2101	7	30	
in	660	2101	36	30	
-	728	2102	14	30	
to	776	2102	37	33	
thy	865	2101	65	33	
hands	973	2100	117	33	
a	1118	2098	22	34	
T	663	2371	112	101	
MK	800	2390	106	68	
My	434	2504	62	36	
all	547	2505	48	36	
thy	617	2506	65	36	
prop	725	2507	87	37	
-	823	2508	14	36	
er	849	2509	36	36	
-	926	2522	9	3	
ty	979	2507	39	31	
,	1019	2504	11	33	
I	1090	2499	22	33	
ASHVILLE	948	1874	279	45	
.	1231	1874	10	45	
2	345	2753	20	36	
Hereafter	391	2753	184	39	
none	590	2756	91	38	
can	697	2758	63	37	
take	778	2759	83	37	
away	878	2761	101	37	
My	434	2801	65	38	
life	514	2801	62	38	
,	581	2801	7	38	
or	607	2801	38	38	
goods	660	2801	105	39	
,	770	2802	5	38	
or	797	2802	36	38	
fame	851	2802	93	38	
;	956	2802	10	38	
Ready	389	2843	124	41	
at	529	2843	39	41	
thy	583	2843	66	41	
command	664	2843	186	41	
to	868	2843	34	41	
lay	918	2843	61	41	
Them	433	2889	111	34	
down	563	2890	105	35	
I	687	2891	16	34	
always	718	2892	134	35	
am	867	2894	56	34	
.	930	2894	10	34	
3	344	2957	23	38	
Confiding	389	2957	187	38	
in	590	2957	39	38	
thy	646	2957	65	38	
only	729	2957	85	38	
love	830	2957	80	38	
,	913	2957	10	38	
Through	435	3002	168	38	
Him	622	3002	87	38	
who	728	3002	78	38	
died	824	3002	81	38	
for	923	3002	54	38	
me	993	3002	56	38	
,	1052	3002	7	38	
-	1175	2117	10	3	
