content	x	y	w	h	
9	258	672	70	76	
:	322	672	26	76	
-D	351	740	31	37	
If	479	517	42	44	
you	526	517	69	44	
thought	607	517	150	44	
that	766	517	76	44	
they	855	517	81	44	
walk'd	950	517	125	44	
in	1091	517	37	44	
the	1140	517	60	44	
shadow	1238	517	202	44	
,	1445	517	8	44	
But	459	568	69	26	
not	550	569	61	26	
ma	673	573	54	27	
-	743	576	12	26	
ny	774	577	45	27	
among	874	568	127	39	
them	1014	565	98	39	
,	1114	563	9	41	
my	1141	563	60	40	
brother	1225	561	208	38	
,	1433	558	9	41	
REFRAIN	446	848	181	33	
.	632	851	7	30	
IS	804	215	60	50	
YOUR	902	215	158	50	
LAMP	1101	215	171	50	
BURNING	1308	215	281	50	
?	1603	215	30	50	
Say	460	1108	69	39	
,	529	1108	11	39	
#	646	930	184	150	
is	600	1107	29	40	
your	646	1107	88	40	
lamp	749	1107	97	40	
burning	861	1107	151	40	
,	1014	1107	8	40	
my	1047	1107	59	40	
brother	1167	1108	186	27	
?	1360	1109	15	27	
⠀⠀	769	1476	148	158	
For	463	1657	68	26	
if	606	1654	35	40	
it	694	1654	32	40	
were	759	1654	90	40	
burning	860	1654	152	40	
,	1016	1654	6	40	
then	1038	1654	84	40	
9	264	1755	75	86	
:	328	1755	43	86	
p	348	1755	63	86	
.	391	1755	39	86	
3	328	1923	19	35	
If	371	1923	37	35	
once	423	1923	80	35	
all	518	1923	48	35	
the	581	1923	58	35	
lamps	655	1923	107	35	
that	778	1923	74	35	
are	868	1923	54	35	
lighted	938	1923	129	35	
.	1054	1923	18	35	
Should	410	1959	129	38	
steadily	552	1960	143	39	
blaze	712	1961	92	39	
in	821	1962	33	38	
a	873	1963	17	38	
line	907	1963	69	38	
,	977	1964	9	38	
Wide	372	2002	97	32	
over	484	2003	78	32	
the	575	2004	58	32	
land	648	2004	79	33	
and	744	2005	64	33	
the	826	2006	61	33	
ocean	902	2007	100	33	
,	1006	2008	7	32	
What	412	2045	103	38	
a	530	2045	19	38	
girdle	563	2045	108	38	
of	686	2045	36	38	
glory	739	2045	94	38	
would	850	2045	108	38	
shine	974	2045	98	38	
!	1081	2045	9	38	
sure	1178	1662	81	30	
-	1280	1659	15	33	
ly	1315	1658	40	31	
Concluded	1705	214	266	50	
.	1980	214	10	50	
Your	1548	519	100	39	
lamp	1664	519	95	39	
would	1772	519	115	39	
burn	1899	519	87	39	
brighter	2000	519	154	39	
,	2158	519	8	39	
I	2198	519	21	39	
Shines	1551	561	124	37	
stead	1701	562	95	37	
-	1814	563	12	36	
i	1837	564	13	36	
-	1876	564	14	36	
ly	1910	564	37	36	
on	2006	567	43	28	
like	2073	567	76	28	
a	2195	568	21	28	
I	1565	890	142	192	
T	1540	1103	27	31	
pray	1647	1110	86	41	
you	1748	1108	71	41	
look	1835	1107	83	41	
quickly	1933	1105	148	40	
and	2115	1103	70	41	
Some	1490	1648	105	41	
beam	1607	1649	98	41	
would	1720	1650	114	41	
fall	1851	1652	59	40	
brightly	1926	1653	157	41	
on	2118	1655	46	40	
know	2332	524	100	27	
.	2437	525	9	27	
star	2342	574	71	23	
.	2415	574	7	23	
see	2292	1119	55	25	
;	2357	1120	8	25	
me	2299	1666	56	18	
.	2357	1666	7	18	
How	1542	1921	84	36	
all	1644	1921	47	36	
the	1706	1921	56	37	
dark	1776	1922	87	36	
places	1880	1922	110	37	
would	2007	1923	109	37	
brighten	2135	1924	154	37	
,	2295	1925	9	36	
How	1586	1960	81	35	
the	1683	1961	59	35	
mist	1759	1962	75	36	
would	1853	1963	108	36	
roll	1978	1965	62	36	
up	2058	1966	44	35	
and	2119	1967	65	35	
away	2201	1968	92	36	
,	2298	1969	8	35	
How	1543	2002	87	35	
the	1646	2002	58	35	
earth	1719	2002	92	36	
would	1830	2003	110	35	
laugh	1956	2003	102	36	
out	2077	2004	57	35	
in	2151	2004	32	35	
her	2202	2005	58	35	
gladness	2277	2005	152	36	
To	1583	2040	48	39	
hail	1647	2040	70	40	
the	1732	2041	58	39	
millennium	1806	2042	210	40	
day	2035	2044	64	39	
.	2104	2044	10	39	
-	2116	2044	27	39	
Refrain	2158	2045	144	40	
.	2305	2046	8	39	
105	2448	219	99	48	
I	2484	322	90	117	
1	2489	661	70	123	
I	2498	912	65	115	
LE	2476	1456	97	116	
LE	2484	1749	81	117	
