content	x	y	w	h	
6	183	139	24	33	
.	210	139	11	33	
AHOYROH	279	160	136	16	
3	272	200	22	23	
4	262	429	29	27	
6	325	868	25	29	
4	327	954	33	26	
ANVERN	598	157	182	26	
,	785	157	8	26	
L.	809	157	38	27	
M.	861	158	46	26	
FR	510	253	97	73	
SELECTIONS	648	872	216	19	
AM	383	1063	126	84	
I	378	1156	20	42	
once	414	1155	88	41	
was	519	1153	70	41	
lost	604	1152	73	41	
,	680	1151	6	42	
but	706	1150	64	41	
now	785	1149	78	41	
am	876	1147	56	41	
found	949	1146	113	41	
,	1066	1144	10	42	
Was	421	1200	82	39	
blind	520	1198	99	39	
,	624	1197	6	40	
but	651	1197	63	39	
now	729	1196	77	39	
I	825	1195	19	40	
see	861	1194	58	40	
.	922	1193	9	40	
C.	1086	945	39	23	
M.	1145	945	44	23	
Pres	511	953	63	30	
.	578	952	5	31	
163	598	951	49	31	
;	655	951	7	31	
Meth	680	950	78	30	
.	763	949	4	31	
654	784	949	47	30	
;	842	948	6	31	
Bap	863	948	55	30	
.	922	947	4	31	
543	941	947	50	30	
.	993	946	7	31	
Arlington	395	1010	145	29	
,	544	1007	8	32	
50	564	1006	42	32	
;	617	1005	11	32	
Ortonville	645	1005	151	30	
,	800	1002	7	32	
86	821	1002	42	31	
;	878	1001	9	32	
Balerma	915	1000	132	30	
,	1050	998	8	32	
55	1070	997	41	32	
.	1114	997	8	32	
MAZING	462	1064	193	41	
grace	665	1061	102	43	
!	773	1059	8	44	
how	791	1059	78	43	
sweet	879	1058	106	42	
the	991	1056	60	44	
sound	1060	1055	113	43	
,	1178	1054	9	44	
That	506	1111	91	30	
saved	613	1109	107	31	
a	738	1107	18	32	
wretch	776	1106	126	31	
like	919	1104	72	32	
me	1009	1103	54	31	
!	1077	1102	9	32	
2	1108	663	100	108	
2	332	1281	24	43	
'	376	1280	14	43	
Twas	389	1279	102	42	
grace	506	1277	106	41	
that	627	1274	77	42	
taught	718	1272	124	41	
my	858	1270	59	42	
heart	932	1268	101	41	
to	1051	1266	37	42	
fear	1102	1264	74	42	
,	1180	1263	9	43	
And	425	1323	84	39	
grace	522	1321	105	39	
my	642	1319	61	40	
fears	717	1317	92	40	
relieved	824	1315	155	39	
;	992	1312	9	41	
How	382	1362	91	46	
precious	490	1362	162	46	
did	671	1362	59	46	
that	746	1362	78	46	
grace	839	1362	102	46	
appear	959	1362	134	46	
The	425	1411	76	32	
hour	517	1409	89	32	
I	624	1408	17	33	
first	655	1407	74	32	
believed	746	1406	161	31	
!	921	1403	10	33	
3	338	1493	21	44	
Through	380	1492	168	41	
many	565	1488	107	42	
dangers	688	1486	149	41	
,	841	1482	7	44	
toils	868	1482	81	43	
and	966	1480	69	43	
snares	1060	1478	120	42	
I	425	1531	18	37	
have	461	1531	89	37	
already	569	1531	142	38	
come	727	1532	102	38	
;	842	1533	11	37	
'	382	1582	14	45	
Tis	396	1581	60	44	
grace	471	1579	105	42	
has	591	1576	65	43	
brought	671	1573	155	42	
me	843	1569	56	43	
safe	915	1567	74	42	
thus	1004	1564	84	43	
far	1101	1562	57	43	
,	1161	1560	10	45	
And	428	1623	83	40	
grace	525	1621	107	40	
will	648	1619	74	41	
lead	734	1617	82	41	
me	833	1615	58	42	
home	906	1614	106	41	
.	1013	1612	9	42	
Gd	478	1664	26	9	
4	338	1698	23	46	
The	385	1697	76	46	
Lord	478	1697	96	45	
has	589	1696	64	46	
promised	669	1695	180	45	
good	865	1694	93	46	
to	974	1693	37	46	
me	1028	1693	57	46	
,	1089	1693	7	46	
His	434	1744	64	40	
word	516	1744	96	40	
my	629	1744	56	40	
hope	703	1744	93	40	
secures	813	1744	141	40	
;	967	1744	9	40	
He	387	1790	59	41	
will	460	1789	73	41	
my	548	1788	59	41	
shield	622	1787	115	41	
and	754	1785	71	41	
portion	841	1784	143	41	
be	998	1782	50	42	
As	431	1837	52	40	
long	498	1835	87	38	
as	600	1832	40	41	
life	655	1831	63	39	
endures	733	1829	154	37	
.	889	1825	9	41	
GERMAN	1187	161	128	29	
.	1318	165	8	24	
5	343	1915	21	36	
And	388	1914	82	35	
when	488	1912	101	35	
this	601	1911	71	35	
flesh	690	1909	88	36	
and	796	1908	67	35	
heart	882	1907	103	34	
shall	1002	1905	92	35	
fail	1108	1903	66	36	
,	1176	1902	9	36	
And	433	1956	83	35	
mortal	532	1955	127	35	
life	678	1954	63	35	
shall	758	1953	92	36	
cease	865	1952	100	36	
,	970	1952	9	36	
I	388	2006	22	41	
shall	422	2005	93	39	
possess	529	2003	142	38	
,	674	2000	8	41	
within	702	2000	121	39	
the	839	1997	61	40	
veil	915	1995	70	40	
,	987	1994	10	41	
A	436	2044	32	41	
life	482	2044	66	41	
of	564	2044	40	41	
joy	610	2044	61	41	
and	689	2045	73	41	
peace	776	2045	110	41	
.	890	2046	8	41	
