content	x	y	w	h	
70	334	200	68	49	
Words	421	263	106	26	
from	539	262	79	27	
"	635	261	16	27	
The	667	261	65	27	
Little	748	261	90	26	
Sower	852	260	103	27	
.	958	260	7	27	
"	972	259	14	27	
4	447	337	39	35	
9	351	596	59	57	
:	404	596	25	57	
4	445	596	43	57	
4	447	647	38	34	
FA	1254	333	186	76	
1.	420	474	27	36	
Hail	467	474	75	36	
,	546	474	6	36	
brightest	567	474	153	36	
morning	734	474	149	36	
!	893	474	7	36	
hail	913	474	67	36	
,	983	474	6	36	
blessed	1005	474	120	36	
day	1140	474	60	36	
!	1213	474	7	36	
From	1253	474	90	36	
earthly	1361	474	122	36	
cares	1498	474	84	36	
let	1597	474	43	36	
us	1664	474	36	36	
now	1716	474	68	36	
turn	1802	474	72	36	
away	1902	474	89	36	
;	2001	474	6	36	
Prompt	2038	474	129	36	
in	2185	474	30	36	
our	2239	474	56	36	
places	2308	474	138	36	
,	2448	474	7	36	
2.	421	507	28	35	
Sing	467	507	77	35	
,	548	507	5	35	
little	568	507	81	35	
children	662	507	145	35	
!	818	507	6	35	
come	840	507	88	35	
,	932	507	5	35	
raise	954	507	78	35	
your	1045	507	79	35	
voice	1137	507	89	35	
;	1235	507	6	35	
Jesus	1257	507	87	35	
has	1360	507	56	35	
bless'd	1430	507	111	35	
you	1556	507	61	35	
,	1623	507	5	35	
now	1646	507	69	35	
you	1731	507	62	35	
may	1809	507	70	35	
rejoice	1893	507	114	35	
;	2014	507	7	35	
Sing	2042	507	75	35	
,	2121	507	4	35	
youths	2140	507	112	35	
and	2267	507	62	35	
maidens	2343	507	143	35	
,	2489	507	6	35	
9	362	845	60	62	
9	344	1498	69	54	
:	394	1492	30	58	
#	413	1490	36	58	
raise	457	927	80	35	
every	550	927	94	35	
voice	657	927	88	35	
,	749	927	5	35	
join	452	964	66	29	
in	549	963	32	30	
the	603	963	54	30	
lay	673	962	52	30	
,	728	962	8	30	
HAIL	942	196	143	48	
,	1093	195	11	49	
BRIGHTEST	1144	194	350	48	
MORNING	1538	192	291	48	
!	1848	190	15	49	
*	1880	190	30	49	
Sweetly	792	927	131	35	
we	939	927	45	35	
sing	999	927	70	35	
and	1081	927	64	35	
re	1160	927	32	35	
-	1193	927	9	35	
joice	1201	927	83	35	
.	1288	927	8	35	
This	791	958	72	32	
is	888	958	26	32	
the	933	958	54	32	
Lord's	1003	958	103	33	
Holy	1124	959	80	32	
Day	1219	959	66	32	
!	1295	959	10	32	
ed	898	1285	21	11	
●	858	1457	11	8	
q	1221	619	20	29	
●	1417	554	11	8	
CHORUS	1381	756	193	21	
.	1579	756	10	21	
hearts	452	1380	103	30	
and	569	1380	63	30	
voices	647	1381	103	30	
strong	765	1381	104	31	
!	879	1382	9	30	
Sing	936	1382	76	31	
to	1048	1383	33	30	
the	1126	1383	56	25	
Savior	1200	1383	139	25	
whom	1359	1383	103	26	
we	1481	1384	46	25	
3	443	1644	22	43	
Sing	488	1644	89	43	
,	579	1644	7	43	
loving	602	1644	128	43	
parents	747	1644	142	43	
,	893	1644	6	43	
join	913	1644	79	43	
with	1013	1644	85	43	
us	1117	1644	41	43	
too	1173	1644	60	43	
,	1235	1644	9	43	
In	487	1682	46	37	
our	551	1683	66	37	
devotions	635	1684	184	40	
we	840	1687	47	38	
can	905	1689	64	37	
not	991	1690	59	38	
spare	1068	1691	101	39	
you	1187	1693	71	38	
;	1268	1695	11	37	
Teach	487	1733	121	41	
