content	x	y	w	h	
88	307	235	74	38	
Words	366	294	107	31	
arranged	487	294	152	32	
.	643	296	7	31	
Spirited	445	331	181	25	
.	634	331	9	25	
12.11	421	347	58	62	
4	444	414	38	37	
·	387	752	22	31	
94-9	392	752	134	33	
1.	420	491	32	30	
'	476	491	15	30	
Tis	487	491	61	30	
sweet	559	491	105	30	
to	679	491	37	30	
reflect	762	491	121	30	
on	928	490	45	44	
the	1000	490	62	44	
joys	1069	490	79	44	
that	1158	490	80	44	
,	1247	490	13	44	
a	1276	490	20	44	
-	1298	490	12	44	
wait	1314	490	85	44	
me	1424	490	56	44	
In	1519	490	46	44	
E-	1615	490	55	44	
den	1685	490	65	44	
a	1799	490	18	44	
-	1822	490	12	44	
bove	1837	490	89	44	
,	1930	490	7	44	
where	1943	490	116	44	
I	2073	490	15	44	
hope	2111	490	92	44	
I	2224	490	18	44	
shall	2275	490	95	44	
rest	2385	490	71	44	
;	2465	490	10	44	
2.	416	543	36	47	
There	462	543	118	47	
an	590	543	44	47	
-	646	543	14	47	
gel	669	543	57	47	
-ic	747	543	55	47	
legions	835	543	136	47	
,	974	543	9	47	
with	987	543	84	47	
harps	1083	543	70	47	
tuned	1164	543	72	47	
ce	1268	543	38	47	
-	1310	543	13	47	
les	1335	543	48	47	
-	1390	543	11	47	
tial	1405	543	66	47	
,	1474	543	6	47	
Har	1496	543	77	47	
-	1575	543	13	47	
mo	1593	543	55	47	
-	1666	543	12	47	
niously	1690	543	143	47	
join	1843	543	74	47	
in	1950	543	36	47	
the	2020	543	64	47	
con	2108	543	65	47	
-	2179	543	12	47	
cert	2191	543	78	47	
of	2298	543	43	47	
praise	2361	543	117	47	
;	2484	543	11	47	
3.	418	596	33	44	
Then	460	596	101	44	
hail	575	596	74	44	
,	654	596	6	44	
blessed	665	596	135	45	
state	816	597	89	44	
!	910	597	8	44	
hail	930	597	78	45	
,	1010	598	8	44	
ye	1022	598	41	44	
songsters	1077	598	172	45	
of	1270	599	40	44	
glo	1327	599	59	44	
-	1390	599	12	44	
ry	1406	599	38	44	
!	1460	599	9	44	
Ye	1494	599	54	45	
harp	1574	600	89	44	
-	1675	600	14	44	
ers	1699	600	52	44	
of	1785	601	37	44	
bliss	1830	601	86	44	
,	1921	601	7	44	
Soon	1932	601	90	44	
