content	x	y	w	h	
No.	379	418	109	45	
55	517	418	68	45	
.	591	418	14	45	
5+	507	626	52	42	
1-12	533	638	39	40	
:	450	908	19	55	
b	467	910	33	58	
b	513	917	29	57	
p	546	922	25	56	
C	585	928	40	59	
bbb	452	963	95	52	
O	390	1453	63	58	
e	578	653	53	49	
2	529	1204	23	35	
-	533	1204	23	35	
b	545	1204	27	35	
.	570	1204	14	35	
25	487	1233	63	43	
F	437	1450	24	51	
:	446	1452	15	48	
b	476	1459	27	51	
b	516	1468	21	50	
b	550	1475	21	50	
b	459	1503	18	39	
-	484	1506	15	39	
b₂2₂²	493	1508	25	40	
b	527	1526	23	34	
.	552	1527	9	33	
d	614	1360	58	66	
.	665	1360	32	65	
SHELLY	1093	422	256	46	
.	1352	420	16	47	
S.	1441	421	54	48	
M.	1520	421	71	49	
de	1144	820	125	66	
ddd	1392	826	242	54	
1	830	1694	19	44	
Behold	883	1695	148	47	
the	1053	1698	66	45	
throne	1140	1700	135	47	
of	1297	1704	39	44	
grace	1363	1705	116	46	
;	1488	1708	10	44	
The	941	1754	78	48	
promise	1039	1755	162	51	
calls	1224	1758	93	50	
us	1337	1760	42	49	
near	1400	1761	92	49	
;	1499	1763	10	48	
There	884	1806	120	46	
Jesus	1020	1808	110	46	
shows	1153	1810	120	46	
a	1299	1812	19	45	
smiling	1341	1812	145	47	
face	1506	1815	86	46	
,	1594	1816	10	45	
And	942	1865	91	41	
waits	1055	1867	108	42	
to	1191	1871	38	39	
answer	1255	1872	141	43	
prayer	1420	1877	134	41	
.	1557	1880	8	39	
2	829	1968	25	45	
My	884	1968	72	45	
soul	974	1968	85	45	
,	1061	1968	7	45	
ask	1092	1968	69	45	
what	1183	1968	105	45	
thou	1308	1968	94	45	
wilt	1424	1968	80	45	
,	1505	1968	9	45	
Thou	939	2019	106	40	
canst	1066	2019	109	41	
not	1196	2020	69	41	
be	1287	2021	46	40	
too	1355	2022	65	40	
bold	1442	2022	89	41	
;	1539	2023	12	40	
Since	884	2078	111	47	
his	1015	2078	55	47	
own	1092	2078	86	47	
blood	1198	2078	114	47	
for	1334	2078	56	47	
thee	1412	2078	88	47	
he	1522	2078	46	47	
spilt	1589	2078	89	47	
,	1680	2078	10	47	
What	939	2134	125	35	
else	1083	2134	79	35	
can	1182	2134	70	35	
he	1275	2134	45	35	
withhold	1345	2134	183	35	
?	1542	2134	18	35	
3	830	2231	25	45	
Thine	885	2231	118	46	
image	1024	2232	126	46	
,	1154	2233	8	45	
Lord	1187	2233	106	46	
,	1298	2234	8	45	
bestow	1328	2235	147	46	
,	1479	2236	9	45	
Thy	938	2291	86	47	
presence	1040	2289	183	47	
and	1242	2287	74	47	
thy	1337	2286	71	47	
love	1425	2285	87	47	
,	1515	2284	11	48	
That	884	2343	103	46	
we	1007	2343	55	46	
may	1084	2343	88	46	
serve	1193	2343	104	46	
thee	1321	2343	85	46	
here	1423	2343	90	46	
below	1532	2343	119	46	
,	1656	2343	10	46	
And	942	2400	93	44	
reign	1054	2400	108	44	
with	1183	2400	92	44	
thee	1294	2400	90	44	
above	1401	2400	123	44	
.	1527	2400	8	44	
4	829	2497	25	45	
Teach	885	2497	127	45	
us	1031	2498	42	45	
to	1095	2498	41	45	
live	1157	2498	73	45	
by	1251	2499	50	45	
faith	1322	2499	97	45	
,	1424	2499	8	45	
Conform	943	2553	176	41	
our	1144	2554	67	40	
wills	1233	2555	93	40	
to	1348	2556	41	40	
thine	1408	2556	107	41	
;	1522	2557	11	40	
Let	887	2608	75	42	
us	983	2608	42	42	
victorious	1045	2608	205	44	
be	1271	2610	48	42	
in	1339	2610	37	42	
death	1399	2611	120	42	
,	1521	2611	9	42	
And	944	2665	95	43	
then	1058	2665	92	43	
in	1168	2666	36	43	
glory	1225	2666	112	43	
shine	1355	2667	107	43	
.	1463	2667	11	43	
(	1309	2787	14	30	
58	1327	2787	35	30	
)	1370	2787	13	30	
L.	1767	512	43	41	
SPOHR	1830	512	131	42	
(	1981	513	18	41	
1784-1859	2008	513	229	43	
)	2247	515	19	41	
.	2274	515	9	41	
be	1752	677	53	37	
Rev.	1388	2738	80	31	
JOHN	1486	2738	102	32	
NEWTON	1609	2740	160	32	
(	1793	2741	11	31	
1725-1807	1811	2742	184	32	
)	1998	2744	13	31	
.	2018	2744	7	31	
요	2111	1304	89	128	
