content	x	y	w	h	
58	677	257	40	28	
393	645	335	100	32	
For	586	397	55	24	
the	654	397	46	24	
Jews	715	398	71	24	
.	791	398	10	24	
1.	305	451	26	31	
Disown'd	353	451	152	33	
of	520	453	33	31	
Heav'n	569	454	111	32	
,	685	455	5	31	
by	705	455	36	31	
man	756	456	65	31	
opprest	837	457	114	32	
,	952	458	7	31	
Outcasts	392	492	135	29	
from	541	492	69	29	
Sion's	629	493	91	29	
hallow'd	738	493	135	30	
ground	887	494	106	29	
,	998	494	7	29	
Wherefore	354	527	170	31	
should	539	528	101	31	
Israel's	656	529	112	31	
sons	786	530	67	31	
,	860	531	5	30	
once	881	531	74	31	
blest	971	532	75	30	
,	1048	532	7	30	
Still	393	572	63	30	
roam	468	571	78	31	
the	559	571	50	31	
scorning	622	571	132	30	
world	768	570	87	31	
around	869	570	110	30	
?	986	569	13	31	
2.	300	625	30	32	
Lord	351	625	77	32	
!	437	625	9	32	
visit	468	625	66	32	
Thy	548	625	63	32	
forsaken	624	625	138	32	
race	776	625	67	32	
!	853	625	9	32	
Back	391	663	80	31	
to	483	663	27	31	
Thy	526	663	66	31	
Fold	605	663	70	32	
the	690	664	47	31	
wand'rers	753	664	155	32	
bring	923	665	80	31	
!	1011	665	9	31	
Teach	354	698	99	32	
them	465	699	78	32	
to	557	700	29	31	
seek	600	701	69	32	
Thy	685	702	64	32	
slighted	763	703	119	32	
grace	897	705	83	32	
,	985	706	8	31	
And	391	740	64	31	
hail	469	740	58	31	
in	540	741	27	31	
Christ	584	741	94	31	
their	692	742	73	31	
promis'd	778	742	136	32	
King	932	743	75	32	
.	1010	744	7	31	
RITES	226	263	91	26	
,	318	260	8	29	
&	346	259	20	28	
C	369	259	18	29	
.	391	258	7	29	
3.	303	798	27	25	
The	352	798	61	25	
veil	429	798	60	25	
of	503	798	32	25	
darkness	546	798	135	25	
rend	696	798	70	25	
in	780	798	31	25	
twain	827	798	88	25	
Which	393	834	110	28	
hides	517	835	81	28	
their	612	835	73	29	
Shiloh's	701	836	123	29	
glorious	840	837	121	29	
light	977	838	70	29	
;	1048	839	9	28	
The	355	875	62	28	
sever'd	432	875	114	28	
olive	563	876	75	28	
-	640	876	10	28	
branch	654	876	106	28	
again	775	877	82	28	
