content	x	y	w	h	
No.	237	351	91	56	
119	347	351	75	56	
.	429	351	11	56	
&	235	512	83	129	
C.	322	426	35	30	
H.	381	425	47	30	
G.	445	424	39	30	
B	222	2495	118	127	
4	378	575	36	35	
d	1684	526	73	77	
*	1803	536	97	65	
1.	364	656	30	28	
All	424	656	60	28	
I	545	656	20	29	
am	632	665	54	18	
I	737	654	19	36	
owe	779	654	74	36	
to	870	654	35	36	
thee	923	654	81	36	
,	1008	654	5	36	
Lord	1029	654	90	36	
,	1125	654	5	36	
And	1139	654	80	36	
all	1235	654	51	36	
ev-	1449	659	57	36	
er	1523	657	38	37	
hope	1570	657	87	36	
to	1683	655	36	37	
be	1759	654	43	37	
;	1806	654	12	37	
2.	363	700	32	28	
All	424	699	62	29	
I	547	695	19	38	
have	613	695	91	39	
I	735	696	18	38	
owe	777	696	73	39	
to	868	697	34	38	
thee	919	697	81	39	
,	1004	698	5	38	
Lord	1028	698	91	39	
,	1123	699	6	38	
Help	1138	699	92	38	
me	1239	700	58	38	
use	1436	698	65	36	
the	1522	698	62	37	
trust	1593	699	95	37	
a	1702	700	20	36	
-	1723	700	13	36	
right	1738	700	96	37	
;	1840	701	8	36	
3.	362	743	32	40	
Give	419	743	90	40	
me	527	743	56	40	
grace	598	743	102	40	
,	705	743	6	40	
O	733	743	28	40	
lov	777	743	56	40	
-	838	743	12	40	
ing	850	743	62	40	
Sav-	930	743	79	40	
iour	1026	743	78	40	
,	1109	743	5	40	
And	1129	743	81	40	
strengthen	1219	743	207	40	
me	1436	743	56	40	
to	1524	743	34	40	
do	1593	743	43	40	
thy	1683	743	63	40	
will	1757	743	77	40	
2	946	801	36	25	
.	975	800	25	25	
4	380	848	34	33	
4	380	892	35	35	
CHORUS	429	1492	155	30	
.	589	1493	8	29	
8	938	1071	38	39	
Thou	363	1150	99	36	
hast	472	1150	80	36	
bought	562	1150	132	37	
me	706	1151	53	36	
with	776	1151	87	36	
a	881	1152	19	36	
price	919	1152	93	36	
,	1017	1152	6	36	
Lord	1032	1152	89	36	
,	1126	1153	6	36	
And	1143	1153	80	36	
I	1243	1153	19	36	
am	1321	1156	55	36	
All	402	1198	59	40	
my	490	1198	61	40	
actions	588	1198	134	40	
,	725	1198	6	40	
work	740	1198	95	40	
,	838	1198	6	40	
and	851	1198	69	40	
deal	933	1198	78	40	
-	1016	1198	9	40	
ings	1027	1198	76	40	
,	1109	1198	7	40	
May	1132	1198	83	40	
they	1227	1198	84	40	
be	1331	1198	42	40	
'	358	1241	13	40	
Neath	374	1241	115	40	
thy	498	1241	66	40	
wing	583	1241	94	40	
se	706	1241	35	40	
-	744	1241	12	40	
cure	758	1241	82	40	
-	843	1241	11	40	
ly	863	1241	36	40	
hide	918	1241	85	40	
me	1044	1241	53	40	
,	1103	1241	4	40	
And	1133	1241	80	40	
bid	1229	1241	63	40	
the	1319	1241	68	40	
2	935	1298	41	23	
.	971	1298	20	23	
I	723	348	16	59	
OWE	775	348	140	59	
ALL	956	348	117	59	
TO	1110	348	81	59	
THEE	1227	348	162	59	
.	1395	348	12	59	
and	385	1967	70	29	
bless	389	2218	92	25	
-	497	2217	15	26	
ed	526	2217	41	26	
came	386	2441	99	19	
my	518	1977	62	30	
king	641	1969	86	38	
,	731	1969	6	38	
name	1074	1526	106	28	
,	1181	1526	8	28	
Ever	403	1737	133	45	
will	551	1737	80	45	
I	673	1737	19	45	
bless	710	1737	89	45	
and	810	1737	69	45	
praise	889	1737	114	45	
thy	1013	1737	65	45	
name	1090	1737	104	45	
,	1196	1737	5	45	
halle	1210	1737	94	45	
-	1308	1737	9	45	
lu	1321	1737	39	45	
-	1377	1737	12	45	
jah	1402	1737	62	45	
My	1485	1737	61	45	
lov	1588	1737	55	45	
-	1647	1737	11	45	
ing	1663	1737	61	45	
Saviour	1732	1737	149	45	
,	1884	1737	8	45	
;	656	2344	51	57	
;	735	2344	52	57	
;	817	2344	50	57	
;	887	2345	46	57	
E	866	2436	25	27	
-	918	2435	15	27	
ter	970	2435	50	26	
I	1355	657	22	28	
to	1354	705	35	23	
CHAS	1421	427	104	33	
.	1531	427	6	33	
H.	1559	428	44	33	
GABRIEL	1626	428	178	35	
.	1808	430	7	33	
-	1069	2448	12	3	
sub	1426	1154	69	37	
-	1496	1154	12	37	
ject	1507	1153	74	37	
un	1593	1152	48	37	
-	1661	1152	14	37	
to	1693	1151	34	37	
thee	1752	1151	81	36	
.	1837	1150	7	37	
pleas	1420	1198	98	40	
-	1521	1198	11	40	
ing	1534	1198	61	40	
in	1603	1198	37	40	
thy	1680	1198	66	40	
sight	1755	1198	96	40	
.	1853	1198	6	40	
angry	1429	1250	153	30	
sea	1599	1246	58	32	
be	1689	1244	44	33	
still	1747	1243	77	32	
.	1825	1242	9	33	
Sav	632	2212	66	34	
-	705	2213	12	34	
iour	717	2213	79	35	
and	807	2215	69	35	
my	896	2216	58	35	
king	964	2218	88	35	
From	1148	2217	99	31	
the	1270	2217	60	31	
throne	1340	2217	124	31	
of	1478	2217	38	31	
God	1530	2217	76	31	
to	1647	2217	34	31	
earth	1694	2217	98	31	
he	1824	2217	45	31	
Copyright	347	2903	133	27	
,	484	2903	4	27	
1892	500	2903	53	27	
,	558	2903	3	27	
by	574	2903	29	27	
Guide	617	2903	77	27	
Printing	706	2903	112	27	
&	834	2903	16	27	
Pub	863	2903	50	27	
.	918	2903	5	27	
Co.	936	2903	42	27	
147	1030	2907	86	32	
My	1484	1517	64	31	
Sav	1585	1515	67	31	
iour	1740	1515	82	29	
nal	1128	2433	63	28	
light	1277	2434	94	32	
and	1402	2432	71	33	
life	1536	2434	64	27	
came	387	2681	100	38	
,	489	2681	7	38	
halle	509	2681	137	38	
-lu-	660	2681	82	38	
jah	757	2681	61	38	
!	825	2681	6	38	
E	869	2681	25	38	
-	916	2681	14	38	
ter-	968	2681	77	38	
nal	1064	2681	58	38	
,	1127	2681	6	38	
ev	1146	2681	41	38	
-	1204	2681	13	38	
er	1234	2681	37	38	
-	1272	2681	11	38	
last	1286	2681	69	38	
-	1370	2681	13	38	
ing	1405	2681	63	38	
life	1527	2685	63	24	
to	1673	2433	36	33	
bring	1756	2435	103	35	
.	1862	2438	8	32	
to	1665	2679	35	33	
bring	1748	2682	101	36	
.	1855	2686	6	32	
