content	x	y	w	h	
NELLIE	299	290	104	18	
EDWARDS	424	289	142	18	
.	570	288	6	19	
9	246	678	61	46	
:	293	671	34	49	
4	334	666	54	46	
94	319	720	61	31	
9	242	1810	70	61	
1.	297	486	32	37	
When	358	486	124	37	
the	497	486	68	37	
Saviour	598	486	157	37	
said	778	486	82	37	
,	867	486	7	37	
"	881	486	16	37	
Let	910	486	65	37	
the	1000	486	66	37	
children	1086	486	173	37	
come	1278	486	106	37	
,	1389	486	11	37	
"	1400	486	16	37	
I	1436	486	20	37	
2.	295	530	35	37	
When	358	530	125	37	
the	496	530	68	37	
Saviour	596	530	158	37	
said	780	530	80	37	
"	871	530	18	37	
Now	900	530	91	37	
con	1003	530	69	37	
-	1079	530	11	37	
vert	1092	530	81	37	
-	1186	530	13	37	
ed	1215	530	45	37	
be	1322	530	48	37	
,	1373	530	9	37	
"	1388	530	18	37	
I	1437	530	21	37	
3.	297	573	32	41	
When	359	573	125	41	
the	497	573	69	41	
Saviour	598	574	156	41	
said	779	574	82	41	
"	889	575	18	41	
I	927	575	17	41	
will	985	575	78	41	
crown	1078	575	124	42	
my	1219	576	62	41	
own	1300	576	84	41	
,	1389	576	7	41	
"	1401	576	16	41	
I	1436	577	21	41	
SP	249	2082	92	75	
4	351	358	34	35	
4	345	404	39	35	
9	240	2338	81	57	
19	238	2815	55	57	
:	284	2815	29	56	
A	431	380	38	27	
H	637	1495	208	122	
lieve	316	1639	99	33	
that	430	1640	88	33	
He	531	1640	60	34	
meant	602	1641	130	34	
me	745	1642	61	34	
.	810	1643	8	33	
lieve	316	1684	100	33	
that	431	1684	86	34	
He	533	1685	57	34	
meant	603	1686	128	34	
me	742	1687	61	33	
.	807	1688	7	33	
lieve	314	1727	100	32	
He	444	1728	58	32	
will	522	1728	79	33	
hear	611	1729	92	33	
me	743	1730	59	33	
.	806	1731	6	32	
HE	813	195	81	41	
MEANT	924	195	229	41	
ME	1183	195	90	41	
.	1273	195	13	41	
-b	308	2861	24	29	
He	344	1075	59	41	
meant	419	1075	133	41	
me	565	1075	62	41	
;	631	1075	10	41	
For	689	1075	72	41	
of	793	1075	39	41	
such	872	1075	95	41	
are	983	1075	64	41	
they	1063	1075	94	41	
in	1196	1075	39	41	
the	1254	1075	68	41	
heav'nly	1336	1075	184	41	
home	1534	1075	115	41	
,	1654	1075	6	41	
I	1696	1075	19	41	
He	343	1119	60	41	
meant	418	1119	131	41	
me	566	1119	62	41	
;	632	1119	6	41	
For	690	1119	68	41	
of	792	1119	39	41	
such	869	1119	94	41	
as	996	1119	38	41	
they	1064	1119	93	41	
shall	1170	1119	97	41	
the	1282	1119	68	41	
kingdom	1361	1119	179	41	
see	1576	1119	61	41	
,	1640	1119	7	41	
I	1698	1119	17	41	
He	344	1161	59	44	
meant	422	1161	129	44	
me	570	1161	61	44	
;	634	1161	8	44	
When	663	1161	124	44	
the	804	1161	66	44	
heav'nly	883	1161	181	44	
choir	1080	1161	108	44	
sing	1198	1161	85	44	
around	1297	1161	147	44	
the	1454	1161	67	44	
throne	1534	1161	139	44	
,	1676	1161	8	44	
I	1698	1161	18	44	
g	350	2609	48	37	
CHORUS	915	1444	191	22	
7	906	2075	106	64	
:	952	2075	71	64	
I	367	2188	19	34	
be	433	2188	46	35	
-	485	2189	10	34	
lieve	498	2189	98	35	
that	607	2191	86	35	
He	708	2192	58	35	
meant	781	2193	127	36	
me	921	2195	60	34	
;	985	2196	9	34	
Copyright	290	2963	130	25	
,	424	2963	4	25	
1897	445	2963	53	25	
,	503	2963	4	25	
by	522	2963	30	25	
Charlie	567	2963	94	25	
D.	682	2963	28	25	
Tillmrn	723	2963	101	25	
.	830	2963	6	25	
I	915	1636	19	35	
be	974	1636	48	35	
-	1026	1636	11	35	
lieve	1038	1637	98	35	
that	1153	1638	85	35	
He	1257	1639	57	35	
meant	1327	1639	132	36	
me	1469	1640	61	36	
,	1534	1641	8	35	
+	1481	1481	42	30	
that	942	2234	87	34	
He	1044	2236	58	35	
meant	1113	2238	130	36	
me	1258	2242	59	35	
;	1323	2244	8	33	
RAN	1557	286	58	22	
.	1621	286	5	22	
C.	1639	286	24	22	
STOREY	1679	286	111	23	
.	1791	287	7	22	
be	1526	489	47	30	
-	1578	489	11	30	
lieve	1590	489	99	30	
that	1735	489	88	31	
be	1525	531	49	32	
-	1577	532	10	32	
lieve	1590	532	98	33	
that	1735	535	86	33	
be	1527	576	46	34	
-	1578	576	11	34	
lieve	1592	576	97	35	
that	1736	577	86	35	
66	1339	2318	123	93	
be	1773	1075	48	41	
be	1771	1119	51	41	
be	1774	1166	48	29	
When	1283	2191	123	31	
He	1423	2191	58	31	
took	1492	2191	90	31	
them	1595	2191	106	31	
in	1717	2191	38	31	
His	1771	2191	69	31	
#	1678	2584	81	106	
₂	1727	2592	52	101	
arms	314	2723	99	42	
,	420	2723	7	42	
To	454	2723	51	42	
His	524	2723	72	42	
bo	635	2723	48	42	
-	688	2723	10	42	
som	700	2723	79	42	
they	808	2723	96	42	
were	919	2723	96	42	
borne	1026	2723	117	42	
,	1146	2723	7	42	
I	1176	2723	16	42	
believe	1241	2723	146	42	
that	1413	2723	86	42	
He	1519	2723	60	42	
meant	1590	2723	129	42	
me	1738	2723	59	42	
.	1798	2723	7	42	
5	1836	202	29	35	
that	1481	1727	86	32	
He	1581	1728	56	32	
meant	1651	1730	127	33	
me	1791	1732	58	32	
,	1853	1734	8	31	
6	1750	2312	58	97	
