content	x	y	w	h	
56	331	361	42	30	
THE	624	361	105	31	
COMMAND	765	361	268	32	
AND	1069	363	106	31	
"	309	429	24	36	
And	341	429	78	36	
Jesus	446	430	94	36	
came	565	430	92	37	
and	685	431	68	37	
spake	781	432	101	37	
unto	909	433	83	36	
them	1016	434	84	36	
,	1107	434	9	36	
saying	269	471	122	40	
,	394	471	7	40	
All	416	471	59	40	
power	487	471	109	40	
is	610	471	30	40	
given	652	471	100	40	
unto	766	471	83	40	
me	865	471	52	40	
in	933	471	38	40	
heaven	992	471	126	40	
and	270	508	70	38	
in	352	508	36	38	
earth	403	508	99	38	
.	503	508	10	38	
Go	556	509	46	38	
ye	617	509	37	38	
therefore	671	509	163	39	
,	838	510	6	38	
and	861	510	70	38	
teach	951	510	95	39	
all	1070	511	47	38	
nations	270	545	135	37	
to	434	545	33	37	
observe	496	545	129	38	
all	654	546	48	37	
things	729	546	114	38	
whatsoever	870	547	199	38	
I	1099	548	20	37	
have	270	581	83	34	
commanded	369	583	216	38	
you	602	588	63	34	
.	671	590	7	33	
"	309	636	20	36	
And	342	636	76	36	
,	423	636	5	36	
lo	445	636	30	36	
!	488	637	8	36	
I	517	637	16	36	
am	551	637	51	36	
with	625	638	80	36	
you	718	638	66	36	
alway	805	639	106	36	
,	914	639	6	36	
even	938	640	81	36	
unto	1035	640	82	37	
the	269	671	60	41	
end	343	671	65	42	
of	420	673	34	41	
the	464	673	59	42	
world	534	674	101	42	
.	643	675	4	41	
Amen	689	676	106	42	
.	801	678	6	41	
"	813	678	15	41	
-	835	678	29	41	
MATT	873	679	100	42	
.	979	680	5	41	
XXVIII	997	680	109	42	
.	1111	682	5	41	
18	269	718	38	28	
,	307	717	11	29	
20	332	717	39	28	
.	371	716	12	29	
"	309	763	24	39	
Preach	342	763	129	39	
the	486	764	54	39	
word	553	764	91	39	
;	655	764	11	39	
be	688	765	35	39	
instant	737	765	130	40	
in	877	766	37	39	
season	924	766	114	40	
,	1041	767	7	39	
out	1059	767	59	39	
of	267	807	43	37	
season	332	806	114	37	
;	458	805	13	38	
reprove	496	805	136	37	
,	636	803	8	38	
rebuke	667	803	120	37	
,	790	802	7	38	
exhort	826	802	119	37	
with	964	801	84	37	
all	1067	800	52	37	
long	269	843	78	37	
-	348	842	12	38	
suffering	363	842	162	37	
.	524	841	17	38	
"	536	841	19	38	
-	559	841	31	38	
2	595	841	21	38	
TIM	632	841	68	38	
.	703	841	6	38	
IV	722	840	34	38	
.	761	840	8	38	
2	778	840	21	38	
.	800	840	7	38	
"	311	890	24	45	
Ye	341	889	53	45	
shall	416	888	89	44	
be	527	886	42	45	
witnesses	589	885	176	42	
unto	789	882	84	44	
me	895	880	55	45	
both	974	879	82	44	
in	1081	877	33	45	
Jerusalem	271	931	187	35	
,	464	931	6	35	
and	487	931	65	36	
in	567	932	32	35	
all	618	932	44	35	
Judea	676	932	109	35	
,	790	933	6	35	
and	813	933	63	35	
in	898	933	34	35	
Samaria	958	933	149	36	
,	1111	934	6	35	
and	272	973	66	35	
unto	352	973	82	35	
the	450	973	59	35	
uttermost	523	973	180	35	
parts	719	973	90	35	
of	827	973	34	35	
the	879	973	56	35	
earth	953	973	93	35	
.	1053	973	7	35	
"	1063	973	16	35	
ACTS	271	1010	90	26	
I.	377	1010	23	27	
8	414	1011	19	26	
.	438	1011	7	26	
"	312	1312	24	42	
Declare	341	1311	141	42	
his	497	1311	53	42	
glory	562	1310	96	42	
among	674	1310	122	42	
the	816	1309	54	42	
heathen	892	1309	143	42	
,	1041	1309	7	42	
his	1070	1308	50	42	
wonders	273	1351	150	39	
among	438	1351	121	39	
all	575	1351	49	39	
people	635	1351	116	39	
.	755	1351	9	39	
"	767	1351	17	39	
-	789	1351	30	39	
PSALM	827	1351	116	39	
XCVI	957	1351	80	39	
.	1040	1351	7	39	
3	1060	1351	20	39	
.	1082	1351	9	39	
"	311	1060	23	42	
Go	343	1059	49	42	
,	395	1059	8	42	
stand	417	1059	104	41	
and	534	1058	70	41	
speak	618	1057	100	42	
in	735	1056	35	42	
the	793	1056	55	42	
temple	868	1055	121	42	
to	1010	1054	32	42	
the	1066	1054	53	42	
people	268	1099	117	39	
all	399	1098	50	39	
the	462	1097	56	40	
words	529	1097	109	39	
of	651	1096	38	40	
this	701	1095	67	40	
life	780	1095	61	39	
.	842	1094	10	40	
"	853	1094	18	40	
-	875	1094	31	40	
ACTS	915	1094	90	39	
.	1011	1093	6	40	
v	1028	1093	18	40	
.	1054	1093	6	40	
20	1070	1093	40	39	
.	1113	1092	6	40	
"	1187	971	21	40	
The	1227	971	69	40	
Spirit	1319	971	111	41	
of	1460	972	38	40	
the	1526	973	54	40	
Lord	1611	973	90	40	
God	1738	974	72	40	
is	1842	974	31	40	
upon	1905	975	89	40	
me	1147	1014	51	33	
;	1207	1013	14	34	
because	1241	1013	138	33	
the	1402	1012	54	34	
Lord	1480	1012	90	34	
hath	1595	1011	82	34	
anointed	1704	1011	158	33	
me	1888	1010	51	34	
to	1959	1010	36	34	
preach	1144	1053	125	41	
good	1289	1052	84	42	
tidings	1396	1051	126	41	
unto	1545	1050	83	42	
the	1646	1049	56	42	
meek	1721	1049	92	41	
;	1824	1048	12	42	
he	1857	1048	40	42	
hath	1911	1047	81	42	
sent	1147	1092	72	40	
me	1246	1091	51	40	
to	1326	1091	32	40	
bind	1384	1090	84	40	
up	1493	1089	44	40	
the	1567	1089	54	40	
broken	1648	1088	119	40	
-	1770	1087	13	40	
hearted	1785	1087	139	39	
,	1925	1086	9	40	
to	1960	1086	36	40	
"	312	1147	24	47	
Behold	342	1146	131	45	
,	477	1144	9	47	
I	499	1143	19	47	
give	531	1143	77	46	
unto	622	1141	83	46	
you	719	1140	66	46	
power	800	1139	113	45	
to	920	1137	35	46	
tread	967	1136	95	46	
on	1077	1134	42	47	
proclaim	1143	1133	166	44	
liberty	1322	1130	122	45	
to	1459	1128	35	47	
the	1508	1127	55	46	
captives	1573	1126	149	45	
,	1723	1124	9	47	
and	1747	1123	71	46	
the	1831	1122	55	46	
open	1899	1121	83	46	
serpents	272	1191	151	44	
and	438	1187	67	47	
scorpions	519	1186	172	44	
,	694	1183	7	47	
and	719	1182	66	46	
over	795	1181	80	45	
all	887	1179	48	46	
the	942	1178	57	46	
powering	1010	1177	199	43	
of	1220	1173	40	46	
the	1276	1171	60	47	
prison	1345	1170	117	45	
to	1482	1168	34	46	
them	1529	1167	89	45	
that	1640	1165	79	45	
are	1732	1163	59	46	
bound	1809	1161	116	45	
,	1924	1159	14	47	
"	1936	1159	20	47	
of	271	1226	37	36	
the	338	1226	60	36	
enemy	426	1226	122	37	
;	561	1227	7	36	
and	599	1227	63	37	
nothing	692	1228	144	37	
shall	864	1229	87	36	
by	979	1230	43	36	
any	1055	1230	70	36	
means	272	1266	115	35	
hurt	404	1265	80	36	
you	498	1265	64	36	
.	568	1264	8	36	
"	578	1264	16	36	
-	601	1264	29	36	
LUKE	640	1264	96	36	
X.	753	1264	33	36	
19	799	1264	37	36	
.	839	1263	8	36	
No.	273	1494	64	27	
62	355	1494	43	27	
.	401	1494	10	27	
1	312	1537	18	37	
Ho	353	1537	53	37	
!	416	1537	9	37	
my	448	1537	56	38	
comrades	519	1538	171	38	
see	704	1539	54	37	
the	772	1539	59	37	
signal	846	1540	110	37	
Waving	391	1576	143	36	
in	547	1577	36	35	
the	598	1577	59	36	
sky	672	1578	61	35	
,	735	1579	9	35	
Reinforcements	352	1611	290	41	
now	660	1615	70	38	
appearing	749	1616	181	40	
,	934	1619	9	37	
Victory	391	1654	137	37	
is	543	1656	27	35	
nigh	588	1657	78	36	
.	673	1658	4	35	
Chorus	287	1701	127	35	
.-	418	1702	41	35	
"	462	1702	22	35	
Hold	498	1702	88	36	
the	603	1703	57	35	
fort	675	1704	65	35	
for	756	1704	50	36	
I	822	1705	16	35	
am	853	1705	54	35	
coming	924	1706	134	36	
,	1058	1707	11	35	
"	1070	1707	16	35	
Jesus	507	1743	97	34	
signals	622	1744	122	35	
still	762	1746	70	34	
,	835	1747	8	33	
þ	209	2456	90	99	
THE	1216	363	104	32	
PROMISES	1362	364	265	32	
.	1634	365	8	31	
"	1184	432	21	36	
And	1218	432	73	36	
the	1307	433	57	36	
idols	1380	433	85	37	
he	1481	434	41	37	
shall	1537	435	85	37	
utterly	1633	436	126	37	
abolish	1770	437	126	37	
.	1904	439	8	36	
In	1949	439	40	25	
that	1145	471	74	40	
day	1235	471	64	40	
a	1315	471	17	40	
man	1353	471	79	40	
shall	1455	471	84	40	
cast	1563	471	69	40	
his	1654	471	51	40	
idols	1728	471	85	40	
of	1831	471	36	40	
silver	1891	471	102	40	
and	1146	511	65	38	
gold	1226	512	74	38	
,	1308	512	5	38	
which	1330	512	108	38	
they	1455	513	81	38	
made	1552	513	96	38	
each	1667	513	78	39	
one	1763	514	61	38	
for	1839	514	51	38	
him	1906	514	69	39	
