content	x	y	w	h	
辣	397	634	23	55	
仔	397	656	23	47	
9	281	1374	58	54	
:	331	1371	31	55	
3	426	600	38	37	
9	283	779	56	52	
:	331	777	31	53	
3	420	774	43	53	
4-4	375	826	86	34	
127	2010	273	98	41	
#	906	381	92	76	
E	1196	379	97	93	
4	2003	386	97	87	
How	477	513	93	45	
great	587	512	100	46	
the	699	512	59	45	
wis	785	511	63	46	
-	851	511	13	46	
dom	867	511	80	46	
,	950	511	7	46	
power	983	510	121	46	
,	1106	510	6	46	
and	1133	510	70	46	
grace	1218	510	101	45	
,	1322	509	7	46	
Which	1381	509	127	45	
in	1525	508	33	46	
re	1606	508	37	46	
-	1647	508	13	46	
demp	1664	508	102	45	
-	1767	507	14	46	
tion	1785	507	72	46	
shine	1894	507	99	46	
!	2005	506	9	46	
--0	1704	603	39	25	
BARCLAY	938	271	313	47	
.	1254	269	14	49	
C.	1333	269	54	49	
M.	1412	268	70	49	
+	1537	268	42	49	
The	431	1111	72	42	
heavenly	517	1111	175	42	
host	730	1111	82	42	
with	858	1111	88	42	
joy	972	1111	66	42	
confess	1108	1111	178	32	
The	1334	1109	72	33	
work	1456	1108	100	33	
is	1612	1111	35	32	
all	1715	1110	48	32	
160	272	1531	94	45	
"	397	1531	21	45	
Let	425	1531	51	45	
all	494	1531	45	45	
the	554	1531	48	45	
angels	624	1531	104	45	
of	749	1531	36	45	
God	800	1531	66	45	
worship	882	1531	133	45	
him	1034	1531	64	45	
.	1094	1531	16	45	
"	1106	1531	18	45	
HOW	271	1609	149	53	
great	435	1607	103	55	
the	550	1605	64	56	
wisdom	627	1605	152	54	
,	777	1603	11	56	
power	803	1603	123	54	
,	924	1601	11	56	
and	954	1605	73	32	
grace	1039	1618	101	31	
,	1141	1618	9	31	
Which	363	1651	131	41	
in	507	1651	36	41	
redemption	560	1651	220	41	
shine	799	1651	98	41	
!	908	1651	9	41	
The	267	1699	75	43	
heavenly	357	1699	173	43	
host	546	1699	81	43	
with	646	1699	86	43	
joy	745	1699	61	43	
confess	824	1699	134	43	
The	315	1746	72	32	
work	405	1746	99	32	
is	520	1746	29	32	
all	568	1746	43	32	
divine	627	1746	118	32	
.	747	1746	8	32	
2	266	1819	22	44	
Before	313	1819	126	46	
his	457	1821	50	45	
feet	525	1822	70	45	
they	613	1824	84	45	
cast	717	1825	72	45	
their	806	1827	91	45	
crowns	914	1828	134	46	
,	1050	1830	11	44	
Those	314	1870	114	41	
crowns	445	1871	137	41	
which	601	1873	113	41	
Jesus	733	1874	104	41	
gave	854	1876	88	40	
,	943	1877	10	40	
And	267	1922	84	42	
,	353	1922	6	42	
with	381	1922	86	42	
ten	484	1922	60	42	
thousand	561	1922	176	42	
thousand	754	1922	176	42	
tongues	945	1922	148	42	
,	1096	1922	7	42	
Proclaim	313	1965	171	40	
his	504	1968	52	38	
power	575	1969	123	39	
to	713	1972	38	37	
save	768	1973	85	38	
.	853	1974	9	37	
3	268	2054	21	43	
They	313	2053	97	43	
tell	429	2053	61	43	
the	504	2053	61	42	
triumphs	584	2052	169	43	
of	775	2052	39	43	
his	834	2051	53	43	
cross	899	2065	96	30	
,	994	2065	9	30	
The	312	2098	75	41	
suff'rings	404	2098	182	42	
which	606	2099	113	41	
he	740	2099	44	41	
bore	802	2100	85	41	
,	887	2100	10	41	
How	268	2142	92	42	
low	377	2142	70	43	
he	467	2143	44	42	
stoop'd	528	2144	133	43	
,	668	2145	5	42	
how	693	2145	80	42	
high	792	2146	82	42	
he	890	2147	48	42	
rose	950	2147	79	43	
,	1028	2148	9	42	
And	315	2195	84	35	
rose	415	2196	77	35	
to	509	2197	36	35	
stoop	563	2198	100	36	
no	681	2199	47	35	
more	745	2200	95	36	
.	842	2201	8	35	
4	267	2280	23	38	
O	314	2280	31	38	
let	361	2280	49	38	
them	426	2281	97	38	
still	539	2281	68	39	
their	625	2282	89	38	
voices	730	2283	116	38	
,	849	2283	10	38	
raise	864	2284	88	38	
,	955	2284	8	38	
And	313	2325	84	38	
still	414	2327	66	38	
their	497	2329	89	38	
songs	602	2332	104	38	
renew	723	2335	118	39	
;	852	2339	10	36	
Salvation	267	2373	175	43	
well	463	2374	80	43	
deserves	556	2375	164	43	
the	738	2376	59	43	
praise	810	2377	114	43	
Of	312	2425	54	40	
men	381	2425	82	40	
and	481	2425	69	40	
angels	566	2425	120	40	
too	711	2425	59	40	
!	784	2425	8	40	
528	263	2521	99	43	
The	498	2542	63	30	
act	577	2542	51	31	
of	645	2543	35	30	
consecration	690	2543	204	32	
.	895	2545	9	30	
LET	266	2607	117	62	
ET	322	2598	57	38	
Him	398	2599	85	40	
to	501	2600	35	39	
whom	557	2601	119	41	
we	695	2604	53	38	
now	768	2605	81	40	
belong	867	2606	128	40	
His	342	2653	67	38	
sovereign	425	2653	184	38	
right	626	2653	92	38	
assert	736	2653	108	38	
!	852	2653	8	38	
And	266	2692	85	44	
take	366	2693	80	44	
up	463	2695	47	43	
every	529	2696	105	44	
thankful	653	2698	159	45	
song	827	2701	86	44	
,	913	2702	11	43	
And	311	2744	86	43	
every	413	2744	107	43	
loving	536	2744	121	44	
heart	672	2745	100	43	
.	772	2745	8	43	
2	265	2820	22	45	
He	314	2820	57	45	
justly	391	2821	110	46	
claims	519	2822	119	47	
us	655	2824	39	45	
for	711	2825	52	45	
his	776	2825	52	46	
own	848	2826	79	46	
,	930	2827	6	45	
Who	312	2869	94	43	
bought	424	2870	135	45	
us	576	2872	39	43	
with	635	2873	86	44	
a	738	2874	21	43	
price	775	2875	93	44	
:	877	2876	8	43	
The	267	2916	71	38	
Christian	357	2916	171	40	
lives	546	2918	85	39	
to	649	2919	36	39	
Christ	705	2920	115	39	
alone	834	2921	101	39	
,	936	2922	8	38	
To	312	2965	49	33	
Christ	379	2965	113	33	
alone	511	2966	100	33	
he	628	2966	45	33	
dies	690	2967	73	33	
.	764	2967	7	33	
-	966	1895	21	6	
3	267	3044	22	42	
Jesus	311	3044	102	43	
,	417	3045	7	42	
thine	442	3045	98	43	
own	559	3046	83	43	
at	660	3047	36	42	
last	711	3048	69	42	
receive	795	3048	137	43	
,	933	3050	8	42	
Fulfil	311	3093	102	40	
our	429	3094	63	40	
hearts	511	3095	119	40	
'	631	3097	10	39	
desire	657	3097	116	40	
;	784	3099	10	39	
And	267	3135	82	41	
let	365	3136	47	41	
us	430	3138	39	40	
to	488	3139	36	40	
thy	544	3140	64	41	
glory	626	3142	99	41	
live	741	3144	68	41	
,	812	3145	6	40	
And	311	3183	84	43	
in	410	3184	34	43	
thy	463	3185	64	43	
cause	544	3187	102	43	
expire	665	3189	117	44	
!	794	3191	8	42	
4	263	3266	25	39	
Our	311	3266	72	40	
souls	400	3268	90	40	
and	509	3270	68	40	
bodies	596	3271	118	41	
we	734	3274	53	39	
resign	805	3275	113	41	
;	929	3277	9	39	
With	312	3323	100	42	
joy	432	3323	64	42	
we	516	3323	57	42	
render	590	3323	128	42	
thee	734	3323	84	42	
Our	266	3367	74	44	
all	354	3367	45	44	
,	401	3367	8	44	
no	427	3368	48	44	
longer	490	3368	124	45	
ours	632	3369	79	44	
,	714	3369	7	44	
but	740	3369	65	45	
thine	820	3370	98	44	
To	311	3407	50	42	
all	379	3410	44	43	
eternity	442	3414	149	48	
.	593	3422	8	40	
DR	1740	303	47	24	
.	1791	303	5	24	
A.	1811	303	33	24	
B.	1859	303	31	24	
E.	1911	303	34	24	
di	1831	1110	35	30	
-	1879	1110	15	30	
vine	1911	1111	79	31	
.	1994	1112	7	30	
533	1208	1530	94	44	
Praying	1450	1548	145	33	
for	1608	1548	50	33	
a	1678	1548	21	33	
holy	1717	1548	70	33	
heart	1803	1548	90	33	
.	1890	1548	9	33	
0	1209	1615	54	66	
O	1212	1608	45	67	
FOR	1282	1608	96	68	
a	1395	1609	22	67	
heart	1432	1610	101	67	
to	1546	1611	37	67	
praise	1599	1611	115	68	
my	1729	1613	62	67	
God	1808	1613	80	68	
,	1889	1614	7	67	
A	1285	1659	32	32	
heart	1335	1659	99	32	
from	1450	1659	91	32	
set	1632	1659	53	32	
A	1209	1704	34	44	
heart	1259	1704	101	44	
that	1374	1704	77	44	
always	1468	1704	133	44	
feels	1618	1704	81	44	
thy	1718	1704	62	44	
blood	1799	1704	104	44	
So	1256	1755	47	41	
freely	1318	1754	108	41	
spilt	1444	1752	82	42	
for	1536	1751	54	42	
me	1606	1751	57	41	
!	1673	1750	12	42	
2	1208	1829	24	44	
A	1258	1829	33	44	
heart	1307	1829	101	45	
resign'd	1424	1830	149	45	
,	1579	1831	6	44	
submissive	1605	1831	203	45	
,	1811	1832	6	44	
meek	1836	1832	103	45	
,	1940	1833	8	44	
My	1256	1880	65	42	
great	1335	1879	100	43	
Redeemer's	1454	1878	219	42	
throne	1692	1877	124	42	
,	1818	1876	9	43	
Where	1209	1921	134	43	
only	1358	1922	84	43	
Christ	1461	1922	114	44	
is	1593	1923	25	43	
heard	1639	1923	108	44	
to	1764	1924	34	43	
speak	1817	1925	108	43	
,	1924	1925	9	43	
Where	1255	1972	133	38	
Jesus	1404	1972	104	39	
reigns	1523	1973	116	39	
alone	1658	1974	98	38	
.	1759	1975	8	38	
3	1208	2052	23	41	
0	1256	2052	29	41	
for	1302	2052	52	41	
a	1372	2052	19	41	
lowly	1407	2052	108	42	
,	1519	2053	6	41	
contrite	1546	2053	145	41	
heart	1709	2054	100	41	
,	1810	2054	9	41	
Believing	1256	2101	181	41	
,	1437	2098	8	44	
true	1466	2097	78	43	
,	1544	2096	8	44	
and	1572	2095	70	44	
clean	1660	2094	97	43	
!	1769	2092	11	44	
Which	1210	2144	126	39	
neither	1355	2144	135	40	
life	1508	2145	55	40	
nor	1584	2146	64	39	
death	1665	2147	104	39	
can	1787	2147	63	40	
part	1866	2148	80	39	
From	1256	2194	104	33	
him	1378	2194	71	33	
that	1468	2194	75	33	
dwells	1563	2194	117	33	
within	1699	2194	122	33	
:	1835	2194	10	33	
4	1205	2268	26	47	
A	1256	2268	34	47	
heart	1307	2268	100	47	
in	1423	2269	35	47	
every	1477	2269	107	47	
thought	1602	2269	150	48	
renew'd	1766	2270	156	48	
,	1923	2271	9	47	
And	1257	2317	81	37	
full	1354	2318	62	38	
of	1432	2319	38	38	
love	1488	2320	81	38	
divine	1587	2322	116	38	
;	1713	2324	8	37	
Perfect	1211	2365	136	45	
,	1349	2365	6	45	
and	1375	2365	69	45	
right	1457	2365	92	46	
,	1552	2366	6	45	
and	1577	2366	68	45	
pure	1662	2366	84	45	
,	1750	2366	6	45	
and	1775	2367	69	45	
good	1860	2367	93	45	
,	1957	2367	13	45	
A	1255	2416	36	46	
copy	1305	2414	91	44	
,	1400	2412	8	47	
Lord	1425	2411	93	44	
,	1520	2408	9	47	
of	1546	2408	43	45	
thine	1601	2406	101	44	
.	1703	2403	11	47	
591	1207	2513	96	46	
Opening	1477	2538	135	31	
worship	1630	2537	131	31	
.	1761	2536	11	32	
ONC	1209	2598	118	57	
NCE	1263	2594	97	39	
more	1377	2594	96	39	
we	1492	2594	55	39	
come	1565	2594	98	39	
before	1681	2594	118	39	
our	1817	2594	65	39	
God	1898	2594	80	39	
;	1989	2594	12	39	
Once	1285	2642	95	39	
more	1396	2641	96	39	
his	1510	2640	52	40	
blessings	1581	2640	167	39	
ask	1767	2638	62	40	
:	1841	2638	10	40	
O	1210	2690	29	44	
may	1257	2689	80	44	
not	1355	2688	61	44	
