content	x	y	w	h	
FREEDOM'S	526	359	477	60	
JUBILEE	1055	359	350	60	
.	1414	359	14	60	
Concluded	1497	359	378	60	
.	1881	359	14	60	
持	456	494	81	100	
men	540	711	77	16	
and	662	697	65	26	
fathers	751	696	123	26	
fog	414	1205	155	67	
2	423	1988	64	68	
2,3	424	1463	136	73	
Mournful	574	1138	188	37	
.	761	1138	10	37	
g	802	1769	44	38	
hoary	985	696	103	37	
,	1089	695	9	38	
Raise	1148	695	101	37	
your	1263	694	83	37	
voices	1375	693	168	37	
loud	1578	692	83	38	
and	1691	691	66	38	
But	546	1874	64	29	
wisdom	624	1874	138	29	
shows	776	1874	110	29	
a	901	1874	20	29	
WINDHAM	851	1035	432	53	
.	1294	1035	15	53	
L.	1377	1035	70	53	
M.	1481	1035	93	53	
事	949	1176	158	137	
Broad	558	1344	109	42	
is	711	1344	29	42	
the	753	1344	58	42	
road	825	1344	79	42	
that	928	1344	71	42	
leads	1013	1344	92	42	
to	1122	1344	34	42	
death	1173	1344	98	42	
,	1278	1344	6	42	
And	1310	1344	78	42	
thousands	1405	1344	180	42	
walk	1601	1344	88	42	
to	1706	1344	34	42	
-	1750	1344	14	42	
gether	1775	1344	115	42	
there	1902	1344	92	42	
;	2005	1344	10	42	
€	642	1448	101	115	
#	1463	1452	125	114	
€	1886	1455	152	134	
T	1157	1681	172	158	
narrow	981	1878	121	34	
path	1120	1876	78	35	
,	1204	1875	7	36	
With	1239	1875	89	35	
here	1345	1873	76	36	
and	1438	1872	64	36	
there	1519	1872	93	35	
a	1639	1870	23	36	
2.	831	2578	33	29	
Shall	889	2577	94	30	
God	1001	2577	74	29	
invite	1087	2576	102	30	
you	1206	2589	65	26	
from	1287	2578	84	27	
above	1389	2578	106	27	
?	1503	2578	18	27	
Shall	893	2620	96	40	
Jesus	998	2620	93	40	
urge	1107	2620	79	40	
his	1205	2620	48	40	
dying	1272	2620	99	40	
love	1387	2620	76	40	
?	1471	2620	20	40	
Shall	888	2659	96	39	
troubled	997	2660	151	40	
conscience	1167	2661	193	41	
give	1375	2663	75	40	
you	1465	2664	64	39	
pain	1545	2665	79	39	
?	1634	2666	17	39	
And	886	2711	80	37	
all	980	2711	48	37	
these	1042	2711	93	37	
pleas	1151	2711	91	37	
unite	1261	2711	89	37	
in	1365	2711	33	37	
vain	1414	2711	80	37	
?	1501	2711	19	37	
One	1058	2278	62	31	
thing	1131	2278	86	31	
needful	1227	2278	121	31	
.	1346	2278	11	31	
I.	834	2354	27	20	
cares	1549	2352	90	24	
W	890	2345	86	71	
That	1005	2349	89	71	
life	1104	2352	64	71	
which	1177	2355	115	72	
God's	1305	2359	104	72	
compassion	1424	2364	206	75	
spares	1644	2371	111	73	
;	1766	2376	9	68	
While	890	2429	112	39	
,	1006	2429	6	39	
in	1029	2430	33	39	
the	1078	2430	55	39	
various	1148	2430	128	40	
range	1294	2432	101	39	
of	1409	2432	38	40	
thought	1454	2433	142	40	
,	1599	2434	8	39	
The	889	2476	73	40	
one	980	2476	63	40	
thing	1057	2476	95	40	
needful	1169	2476	134	40	
is	1320	2476	26	40	
forgot	1364	2476	106	40	
?	1478	2476	18	40	
3.	834	2813	30	39	
Not	891	2812	70	40	
so	975	2811	36	40	
your	1026	2811	84	40	
eyes	1123	2810	72	40	
will	1215	2810	68	39	
always	1299	2809	122	39	
view	1436	2808	84	40	
Those	891	2848	109	42	
objects	1018	2849	121	43	
which	1152	2851	109	43	
you	1279	2853	65	42	
now	1363	2854	73	42	
pursue	1453	2856	120	42	
:	1583	2858	11	41	
Not	888	2893	70	37	
so	971	2894	37	37	
will	1025	2894	70	38	
heaven	1109	2895	128	39	
and	1255	2897	65	38	
hell	1337	2898	68	38	
appear	1420	2899	121	39	
When	890	2940	113	32	
death's	1019	2940	128	33	
decisive	1165	2941	143	33	
hour	1325	2943	84	32	
is	1424	2943	27	32	
near	1468	2944	78	32	
.	1548	2944	9	32	
€	1818	522	131	113	
high	1848	698	81	36	
!	1938	696	12	37	
E	1776	791	117	88	
4.	832	3042	34	42	
Almighty	890	3042	170	42	
God	1078	3043	74	42	
!	1162	3043	8	42	
Thy	1199	3043	71	42	
power	1287	3043	112	43	
impart	1414	3044	120	42	
;	1540	3044	12	42	
Fix	893	3087	63	38	
deep	972	3087	86	38	
conviction	1075	3087	185	38	
on	1275	3087	41	38	
each	1332	3087	80	38	
heart	1429	3087	93	38	
;	1529	3087	11	38	
Nor	892	3129	74	38	
let	980	3129	47	39	
us	1041	3130	36	38	
waste	1094	3130	100	39	
on	1213	3131	41	39	
trifling	1278	3132	121	39	
cares	1417	3133	91	39	
That	891	3170	86	41	
life	990	3171	59	41	
which	1064	3172	113	42	
thy	1190	3174	57	41	
compassion	1265	3176	205	43	
spares	1488	3179	108	42	
.	1600	3181	7	40	
READ	1847	1103	110	23	
.	1964	1103	9	23	
travel	1721	1877	138	27	
-	1869	1875	14	29	
ler	1892	1875	51	28	
.	1943	1874	9	29	
17	1987	367	52	41	
L.	1821	2260	86	46	
M.	1932	2260	108	46	
