content	x	y	w	h	
No.	424	183	105	49	
30	562	186	76	49	
.	646	188	13	47	
6	480	355	34	35	
8	476	399	43	37	
9	378	1365	66	45	
:	420	1360	48	47	
PARTING	905	181	299	54	
HYMN	1246	182	205	53	
,	1454	183	17	53	
F	1659	366	148	101	
1.	451	494	34	46	
How	506	494	97	46	
pleasant	627	494	176	46	
thus	814	494	90	46	
to	919	494	39	46	
dwell	984	494	111	46	
be	1114	494	44	46	
-	1173	494	12	46	
low	1200	494	72	46	
,	1278	494	6	46	
In	1318	494	46	46	
fel	1411	494	51	46	
-	1474	494	13	46	
low	1500	494	71	46	
-	1578	494	10	46	
ship	1592	494	87	46	
of	1699	494	43	46	
love	1805	498	89	33	
!	1907	498	15	33	
And	519	543	89	41	
tho	621	543	68	41	
'	692	543	10	41	
we	720	543	55	41	
part	792	543	84	41	
,	882	543	5	41	
'	910	543	7	41	
tis	921	543	46	41	
bliss	986	543	93	41	
to	1113	543	39	41	
know	1175	543	110	41	
The	1306	543	80	41	
good	1400	543	95	41	
shall	1511	543	97	41	
meet	1624	543	101	41	
a	1746	543	23	41	
-	1782	543	16	41	
bove	1817	543	97	41	
.	1917	543	9	41	
2.	450	583	34	46	
Yes	506	583	75	46	
,	586	583	7	46	
hap	612	583	76	46	
-	694	583	12	46	
py	707	583	52	46	
tho't	772	583	97	46	
!	878	583	8	46	
when	900	583	113	46	
we	1030	583	55	46	
are	1104	583	64	46	
free	1184	583	80	46	
From	1284	583	109	46	
earthly	1407	583	151	46	
grief	1577	583	97	46	
and	1690	583	77	46	
pain	1805	583	91	46	
,	1902	583	9	46	
In	519	628	47	39	
heav'n	585	628	137	39	
we	737	629	55	39	
shall	803	629	99	39	
each	919	629	91	40	
oth	1027	630	64	39	
-	1097	630	13	39	
er	1112	630	39	40	
see	1184	631	61	39	
,	1252	631	7	39	
And	1294	631	82	40	
never	1395	632	159	40	
part	1580	633	84	39	
a	1707	633	25	39	
again	1708	633	189	37	
.	1902	634	9	36	
3.	451	670	34	42	
Then	509	670	106	42	
let	634	670	54	42	
us	735	671	44	42	
each	797	671	92	42	
in	908	671	38	42	
strength	962	672	127	42	
di	1110	672	37	42	
-	1153	672	10	42	
vine	1169	672	88	43	
,	1263	673	6	42	
Still	1290	673	83	42	
walk	1396	673	95	43	
in	1509	674	37	42	
wis	1568	674	64	42	
-	1637	674	10	42	
dom's	1651	674	123	43	
ways	1807	675	101	42	
;	1921	675	12	42	
That	516	717	100	45	
we	630	717	55	45	
,	688	717	8	45	
with	713	717	96	45	
those	815	717	112	45	
we	940	717	55	45	
love	1008	717	86	45	
may	1107	717	90	45	
join	1205	717	80	45	
In	1311	717	46	45	
never	1395	717	158	45	
-	1565	717	11	45	
end	1592	717	75	45	
-	1679	717	13	45	
ing	1706	717	65	45	
praise	1796	717	126	45	
.	1924	717	7	45	
&	474	869	46	35	
The	473	1160	83	41	
good	572	1160	99	41	
shall	691	1160	99	41	
meet	801	1160	102	41	
a	918	1160	23	41	
And	478	1203	86	36	
never	591	1204	168	38	
part	783	1208	86	36	
a	909	1210	22	35	
gain	1003	1204	92	40	
,	1095	1204	13	40	
In	487	1249	50	28	
never	592	1248	168	41	
-	773	1248	17	41	
end	800	1248	75	41	
-	878	1248	11	41	
ing	893	1248	66	41	
praise	1001	1248	126	41	
,.	1130	1248	28	41	
1	972	1179	10	4	
1	962	1224	10	4	
bove	1009	1159	101	42	
,	1111	1159	11	42	
......	1124	1159	131	42	
The	1293	1159	79	42	
good	1388	1159	96	42	
shall	1498	1159	99	42	
meet	1609	1159	101	42	
a	1724	1159	22	42	
-	1761	1159	15	42	
bove	1798	1159	99	42	
,	1898	1159	10	42	
And	1294	1205	88	34	
never	1399	1206	157	36	
part	1578	1208	86	35	
a	1708	1210	25	34	
gain	1796	1204	89	40	
;	1897	1205	12	39	
In	1306	1245	50	42	
never	1394	1245	163	43	
-	1564	1246	18	42	
end-	1591	1246	103	42	
ing	1706	1246	64	42	
praise	1790	1247	125	42	
,	1914	1247	10	42	
Arr	1880	285	63	25	
.	1944	285	8	25	
No.	422	2148	111	46	
31.	575	2148	87	46	
ENTIRE	800	2144	248	52	
CONSECRATION	1086	2144	510	52	
.	1603	2144	17	52	
MISS	458	2232	79	26	
FRANCES	555	2232	148	27	
R.	721	2233	35	26	
HAVERGAL	778	2233	182	27	
.	963	2234	7	26	
1	1754	1223	10	4	
8	530	2349	40	36	
1.	478	2424	36	41	
Take	537	2424	103	41	
my	664	2424	66	41	
life	749	2424	69	41	
and	843	2424	73	41	
let	963	2424	55	41	
it	1062	2424	32	41	
be	1140	2424	47	41	
,	1190	2424	9	41	
2.	478	2468	37	41	
Take	539	2468	104	41	
my	667	2468	66	41	
feet	749	2468	78	41	
and	845	2468	76	41	
let	965	2468	54	41	
them	1033	2468	105	41	
be	1154	2468	45	41	
3.	480	2513	34	42	
Take	538	2513	104	42	
my	666	2513	65	42	
