content	x	y	w	h	
bb	477	484	87	51	
9552	422	1441	134	86	
bb	487	1502	84	50	
bb	488	1808	82	49	
bb	488	2189	78	51	
CHORUS	641	369	155	32	
.	800	371	9	30	
In	610	644	43	22	
that	721	642	80	24	
BRIGHT	851	280	277	45	
GOLDEN	1161	280	299	45	
CITY	1500	280	158	45	
.	1671	280	12	45	
Concluded	1747	280	333	45	
.	2092	280	12	45	
beau	884	643	87	24	
.	1033	641	13	26	
ti	1093	641	30	26	
-	1164	641	15	26	
ful	1208	641	53	26	
We	611	1290	62	23	
shall	719	1290	90	23	
meet	859	1292	91	21	
one	1018	1297	65	17	
another	1123	1290	247	25	
In	623	1979	44	23	
that	736	1979	79	29	
bright	849	1979	118	29	
gold-	1014	1979	103	29	
en	1124	1979	43	29	
city	1215	1977	124	32	
,	1343	1983	8	26	
4	1385	468	109	83	
city	1362	640	145	33	
,	1510	646	8	27	
NE	1467	1096	291	159	
a	1469	1295	26	20	
-	1557	1295	12	20	
gain	1619	1292	78	25	
;	1708	1291	10	26	
With	1433	1978	89	23	
In	1664	640	42	25	
that	1773	641	81	24	
bright	1930	641	120	27	
gold	2126	641	79	28	
-	2233	641	15	28	
en	2262	641	42	28	
Je	1613	1977	43	23	
a	1689	1355	20	28	
-	1709	1354	12	28	
gain	1722	1354	78	28	
,	1806	1353	8	28	
होई	1950	1060	189	153	
In	1827	1289	44	22	
that	1938	1288	81	23	
beau	2067	1289	86	22	
rit	1933	1695	61	35	
.	1991	1695	12	35	
sus	1757	1982	59	18	
for	1883	1977	52	22	
B	2121	737	79	119	
ev	2017	1982	40	18	
er	2138	1985	37	16	
BE	2255	742	211	123	
ti	2237	1288	27	23	
-	2281	1288	11	23	
ful	2315	1288	50	23	
€	2481	435	159	128	
cit	2375	640	48	25	
-	2474	645	9	24	
y	2508	647	22	25	
,	2534	649	7	24	
city	2446	1286	125	32	
,	2575	1293	7	25	
we'll	2262	1978	88	22	
reign	2428	1977	95	28	
.	2527	1977	7	28	
