content	x	y	w	h	
NO	408	296	52	28	
MORE	480	296	107	28	
GOOD	608	296	100	28	
-	712	296	13	28	
BYES	728	296	101	28	
.	830	296	7	28	
2	454	386	28	31	
$	394	381	119	88	
9	412	380	106	89	
190	539	206	96	65	
Where	683	206	187	65	
life's	901	206	128	65	
crystal	1069	206	192	65	
stream	1296	206	184	65	
doth	1515	206	122	65	
flow	1673	206	112	65	
.	1792	206	14	65	
E.	1659	295	32	26	
R.	1705	295	35	26	
LATTA	1757	295	107	26	
.	1868	295	7	26	
53	447	1239	21	51	
12	501	391	112	50	
8	531	453	59	52	
9	324	851	65	64	
:	392	849	29	65	
5128	439	847	209	61	
26-8	404	910	179	45	
5	450	1945	25	24	
3	451	1980	21	22	
A	885	422	44	38	
2₁18	692	470	126	45	
21-1	868	480	103	42	
2	1019	484	32	28	
#	712	400	108	92	
3	795	467	20	22	
53	540	1941	24	55	
3	640	1655	17	17	
1	638	1687	18	17	
5	791	817	23	22	
1	701	880	18	18	
1	790	876	25	24	
1	871	880	17	18	
3	727	1212	22	24	
5	728	1728	21	21	
●	778	1262	13	11	
5.	729	1621	65	22	
5	822	1623	20	18	
.	868	1623	17	18	
5	725	1945	25	22	
1.	342	596	34	42	
Where	391	596	128	42	
life's	528	596	93	42	
crystal	637	596	109	42	
stream	754	596	105	42	
doth	874	596	85	42	
flow	973	596	76	42	
,	1055	596	6	42	
And	1076	596	80	42	
the	1169	596	61	42	
tree	1241	596	71	42	
of	1322	596	37	42	
life	1372	596	63	42	
doth	1450	596	82	42	
bloom	1550	596	117	42	
,	1672	596	7	42	
Where	1686	596	103	42	
no	1802	596	34	42	
chilling	1846	596	149	42	
frost	2009	596	85	42	
can	2107	596	63	42	
2.	341	652	34	44	
There	392	652	114	44	
the	520	652	60	44	
good	595	652	90	44	
again	705	652	105	44	
shall	827	652	93	44	
meet	936	652	92	44	
,	1032	652	6	44	
Who	1051	652	76	44	
have	1137	652	75	44	
clasped	1221	652	114	44	
the	1348	652	47	44	
parting	1405	652	114	44	
hand	1531	652	96	44	
;	1635	652	7	44	
Fathers	1661	652	149	44	
,	1814	652	6	44	
mothers	1833	652	154	44	
,	1991	652	6	44	
children	2008	652	162	44	
3.	341	707	37	45	
Where	392	707	131	45	
no	538	707	45	45	
signs	598	707	96	45	
of	710	707	37	45	
age	771	707	63	45	
are	859	707	60	45	
seen	941	707	81	45	
,	1024	707	5	45	
And	1051	707	83	45	
they	1150	707	83	45	
never	1251	707	106	45	
sorrow	1374	707	126	45	
more	1520	707	95	45	
,	1619	707	7	45	
Where	1645	707	129	45	
no	1791	707	43	45	
sickness	1852	707	152	45	
e'er	2022	707	66	45	
can	2105	707	65	45	
1--1--1	1633	763	194	28	
ܡܘ	971	1054	16	61	
3	946	848	21	21	
5	821	1726	21	22	
5	913	1726	21	22	
2	869	2448	36	28	
.	900	2447	15	29	
Copyright	407	2578	129	26	
,	540	2575	4	29	
1884	554	2575	54	28	
,	610	2574	5	29	
by	626	2574	32	29	
FILLMORE	669	2573	128	27	
BROS	811	2571	65	28	
.	878	2570	8	29	
3	1103	466	20	22	
5	941	1945	23	23	
3	944	1978	18	21	
8	989	1654	41	46	
3	1186	1210	25	26	
8	808	1215	41	75	
:	870	1215	17	75	
8	901	1215	36	75	
:	957	1215	21	75	
0	993	1216	37	75	
208	1090	1216	127	76	
200	1257	1218	111	75	
200	1407	1219	115	75	
:	1540	1219	24	75	
0	1582	1220	34	75	
21	1093	1227	57	40	
1	1187	1235	24	37	
3	1036	1977	19	22	
1	1034	2009	23	21	
3	1194	467	22	22	
0	1149	822	14	12	
2	1094	1993	24	22	
7	1092	2027	26	22	
42	1268	451	24	47	
53	1387	431	23	54	
5	1269	814	21	22	
5	1359	813	25	23	
5	1437	813	23	23	
5	1496	813	26	23	
5	1577	816	18	19	
1.	1189	877	33	22	
1	1268	876	24	20	
1	1574	878	25	21	
154	1207	2579	50	21	
4	1439	452	24	24	
2	1438	483	27	22	
4	1265	1635	22	23	
1	1268	1686	16	17	
3	1281	1977	20	21	
3	1502	468	20	21	
1	1502	497	23	22	
0-8-0	505	1235	154	40	
fall	346	1339	71	44	
,	417	1339	9	44	
On	443	1339	55	44	
flow'rs	511	1339	123	44	
that	647	1339	79	44	
sweetly	738	1339	120	44	
bloom	873	1339	89	44	
;	974	1339	8	44	
Where	1001	1339	129	44	
the	1142	1339	58	44	
glory	1211	1339	103	44	
of	1326	1339	38	44	
the	1375	1339	59	44	
Lord	1451	1339	93	44	
Shines	1558	1339	124	44	
thro	1697	1339	81	44	
'	1780	1339	10	44	
all	1803	1339	51	44	
the	1869	1339	48	44	
cloudless	1928	1339	140	44	
skies	2078	1339	78	44	
,	2157	1339	8	44	
D.	881	1396	45	43	
S.	941	1396	34	43	
Midst	1000	1396	102	43	
the	1122	1396	50	43	
glory	1193	1396	88	43	
of	1306	1396	35	43	
the	1359	1396	50	43	
Lord	1434	1396	88	43	
,	1524	1396	7	43	
In	1558	1396	41	43	
that	1624	1396	67	43	
home	1715	1396	88	43	
beyond	1823	1396	122	43	
the	1968	1396	50	43	
skies	2040	1396	80	43	
,	2121	1396	8	43	
dear	348	1452	84	43	
,	434	1452	7	43	
Around	464	1452	149	43	
the	623	1452	45	43	
throne	678	1452	99	43	
shall	788	1452	78	43	
stand	875	1452	84	43	
;	971	1452	7	43	
There	997	1452	111	43	
no	1120	1452	45	43	
tempest	1180	1452	147	43	
e'er	1341	1452	66	43	
shall	1419	1452	77	43	
blów	1509	1452	91	43	
,	1602	1452	7	43	
There	1621	1452	113	43	
no	1748	1452	42	43	
dismal	1802	1452	130	43	
cloud	1944	1452	107	43	
arise	2064	1452	90	43	
,	2155	1452	9	43	
come	339	1509	99	42	
,	442	1509	7	42	
Where	464	1509	107	42	
death	578	1509	85	42	
has	673	1509	50	42	
lost	739	1509	54	42	
his	808	1509	43	42	
power	870	1509	94	42	
,	968	1509	6	42	
Where	994	1509	107	42	
they	1112	1509	66	42	
feel	1193	1509	66	42	
no	1273	1509	45	42	
weight	1332	1509	127	42	
of	1473	1509	36	42	
care	1520	1509	80	42	
,	1603	1509	5	42	
And	1625	1509	80	42	
no	1719	1509	34	42	
tears	1767	1509	91	42	
bedim	1870	1509	116	42	
the	2002	1509	60	42	
eyes	2069	1509	81	42	
;	2156	1509	10	42	
9	321	1657	67	75	
:	386	1657	27	74	
5	1281	2486	22	24	
5	1371	2487	23	25	
4	1418	1635	23	23	
1	1419	1684	22	19	
5	1495	1621	22	22	
5	1587	1621	21	22	
●	1546	1685	12	10	
1	1588	1685	19	19	
5	1639	816	16	17	
5	1583	1943	27	25	
3	1585	1977	22	22	
1.	1639	875	64	21	
1	1730	875	20	21	
DAL	1677	1257	27	78	
53	1729	494	23	54	
4	1680	1197	24	24	
2	1645	1994	26	21	
5	1673	1620	33	31	
1	1680	1684	22	20	
5	1771	1179	28	23	
3	1773	1212	21	22	
Fine	1432	1850	99	25	
.	1538	1849	9	26	
CHORUS	1584	1849	201	25	
.	1791	1848	9	26	
3	1741	1976	20	23	
1	1740	2007	22	21	
5	1771	1621	22	21	
53	1806	433	24	53	
1	1774	1685	19	17	
1	1804	873	26	24	
दल	1857	1193	32	55	
6	1901	423	22	21	
There	391	2107	114	43	
,	509	2107	7	43	
as	541	2107	37	43	
endless	601	2107	136	43	
ages	763	2107	79	43	
roll	867	2107	69	43	
,	942	2107	6	43	
Shall	974	2107	104	43	
be	1093	2107	41	43	
no	1152	2107	44	43	
more	1214	2107	96	43	
good	1326	2107	89	43	
-	1420	2107	10	43	
byes	1434	2107	83	43	
.	1522	2107	5	43	
No	1553	2107	55	43	
