content	x	y	w	h	
Abide	260	671	100	26	
with	375	672	75	26	
me	464	672	49	27	
A	259	717	28	24	
closer	301	717	96	24	
walk	411	717	81	24	
.	516	717	8	24	
A	258	760	27	24	
dream	302	760	102	24	
of	421	760	36	24	
home	468	760	91	24	
After	259	804	91	23	
these	364	803	88	24	
trials	466	803	87	23	
and	568	802	61	24	
A	259	848	26	31	
land	299	848	74	31	
by	388	848	37	31	
faith	440	848	81	31	
I	536	848	14	31	
see	565	848	52	31	
Alas	260	889	73	31	
and	348	890	60	31	
did	422	892	52	31	
my	490	893	48	31	
.	562	895	7	30	
Are	259	940	63	28	
you	334	940	58	29	
weary	409	941	101	29	
,	515	942	6	28	
are	536	942	51	29	
you	600	943	60	28	
Art	259	981	58	26	
thou	330	981	75	26	
burdened	422	981	156	26	
.	608	981	10	26	
.	652	981	10	26	
●	563	735	10	6	
A	259	1028	28	29	
sea	300	1027	53	29	
of	365	1027	36	28	
deep	413	1026	74	29	
unfathomed	503	1025	204	28	
A	258	1072	29	32	
spirit's	299	1071	115	30	
echo	429	1069	75	31	
Beautiful	260	1117	159	23	
hands	432	1116	101	24	
at	546	1115	33	24	
the	591	1115	54	24	
Beckoning	259	1162	181	29	
hands	454	1159	100	30	
Behold	260	1205	119	27	
a	395	1205	17	27	
stranger	426	1206	142	27	
at	581	1207	32	27	
Boylston	260	1251	146	29	
..	428	1249	54	30	
Brethren	260	1296	151	27	
,	417	1293	6	29	
we	439	1293	46	29	
have	498	1292	78	28	
Building	261	1339	146	30	
on	421	1336	37	33	
the	475	1335	54	32	
Rock	543	1334	86	32	
Called	261	1385	105	27	
to	381	1385	30	27	
the	426	1385	53	27	
feast	493	1385	82	27	
by	589	1385	39	27	
Calling	259	1430	122	28	
for	393	1428	49	30	
me	455	1427	49	30	
Canaan	261	1472	128	24	
.	430	1473	15	24	
.	562	1089	9	7	
.	479	2601	10	5	
●	524	2601	10	6	
●	608	1178	12	8	
Can	260	1517	62	31	
you	337	1516	58	31	
say	413	1515	51	32	
I	480	1514	12	32	
am	508	1514	46	32	
His	573	1513	57	32	
.	650	1512	10	32	
Come	261	1561	93	31	
,	359	1561	6	31	
every	381	1561	91	31	
soul	486	1561	67	31	
,	556	1561	7	31	
by	577	1561	40	31	
Come	262	1601	93	32	
join	365	1602	66	32	
the	447	1603	54	32	
army	514	1604	87	32	
Come	263	1646	91	26	
sinners	370	1646	122	26	
to	504	1646	33	26	
the	550	1646	53	26	
Come	262	1688	94	30	
to	369	1688	32	30	
Jesus	416	1689	91	30	
(	522	1689	12	30	
new	537	1689	66	31	
)	606	1690	11	30	
Come	263	1732	92	30	
to	369	1732	32	30	
Jesus	416	1733	92	30	
(	520	1734	12	30	
old	533	1734	48	30	
)	585	1734	11	30	
Come	263	1779	93	24	
thou	370	1779	76	24	
fount	461	1779	93	24	
Happy	266	2625	111	31	
day	390	2626	60	30	
..	480	2627	27	30	
Happy	266	2672	112	31	
on	391	2672	40	31	
the	445	2673	53	31	
way	512	2673	67	31	
Has	267	2711	64	30	
the	346	2713	51	30	
staff	413	2714	74	31	
you	496	2717	58	30	
.	570	2718	9	29	
.	524	3002	8	5	
●	651	867	9	7	
Come	263	1824	92	31	
weary	370	1824	102	31	
soul	487	1824	66	32	
Come	262	1869	91	32	
ye	367	1867	35	33	
sinners	420	1867	119	32	
Confess	263	1912	129	31	
thy	406	1912	53	31	
sins	475	1912	64	31	
Death	262	1958	99	29	
is	379	1958	23	29	
only	419	1958	71	29	
a	504	1958	18	29	
dream	537	1958	102	29	
.	655	1958	11	29	
Did	262	2002	60	24	
Christ	337	2001	104	25	
o'er	456	2000	62	25	
sinners	532	2000	120	24	
●	612	2331	12	7	
●	650	1223	11	7	
I	268	3070	15	31	
am	297	3070	48	31	
coming	361	3070	122	31	
to	495	3070	34	31	
the	540	3070	55	31	
I	267	3116	15	28	
am	296	3115	47	26	
Thine	359	3113	99	27	
.	480	3111	13	28	
●	651	1357	9	5	
Don't	262	2045	97	32	
delay	373	2045	89	32	
.	476	2045	11	32	
.	520	2045	12	32	
.	565	2045	11	32	
Early	262	2091	91	29	
in	367	2090	31	30	
the	413	2090	52	30	
morning	478	2090	146	29	
.	618	2089	17	30	
Endeavor	264	2134	162	29	
benediction	438	2135	198	29	
song	649	2137	79	28	
Enough	264	2181	128	27	
for	406	2179	50	29	
me	468	2178	51	29	
Faith	264	2224	90	31	
brings	369	2223	105	31	
the	489	2222	54	32	
troubled	554	2221	146	32	
Faith's	264	2265	115	33	
blessings	396	2266	152	33	
Far	263	2316	60	29	
away	336	2315	87	29	
in	438	2314	29	30	
the	481	2313	55	30	
Father	265	2357	114	31	
,	384	2357	6	31	
I	405	2357	14	31	
stretch	435	2357	114	32	
my	566	2358	51	31	
Full	265	2405	70	22	
well	351	2405	73	22	
Fully	264	2451	87	26	
saved	365	2449	94	26	
.	474	2446	10	28	
Glory	262	2494	96	28	
,	360	2494	10	28	
glory	382	2494	87	28	
Glory	264	2539	93	29	
to	371	2537	32	31	
Jesus	418	2536	94	30	
God	265	2583	66	23	
is	345	2583	25	23	
love	384	2583	70	23	
.	479	2583	11	23	
●	616	2823	9	6	
●	653	1400	11	7	
●	652	1579	11	7	
●	614	3089	9	7	
●	653	1618	12	8	
Have	267	2759	88	33	
you	367	2759	61	33	
heard	442	2759	97	33	
what	551	2759	86	33	
.	657	2759	8	33	
Have	266	2805	89	30	
you	366	2804	61	30	
sad	441	2803	57	31	
and	509	2802	61	31	
Hear	267	2846	83	24	
the	364	2846	53	24	
invitation	431	2846	168	24	
.	614	2846	11	24	
●	651	1752	12	8	
Heaven	268	2891	128	30	
,	401	2891	6	30	
Jesus	423	2891	92	30	
,	521	2891	6	30	
Angels	543	2891	115	30	
Here	269	2936	81	27	
am	364	2936	48	27	
I	427	2936	15	27	
,	447	2936	6	27	
send	468	2936	75	27	
me	557	2936	49	27	
Holy	266	2984	81	26	
Manna	362	2982	117	26	
Hosannah	270	3025	173	24	
to	457	3025	33	24	
the	501	3025	55	25	
Son	569	3026	64	24	
.	660	3026	9	24	
●	698	1134	11	7	
●	658	3090	10	7	
●	738	1047	9	6	
●	745	2154	8	6	
●	743	2243	10	6	
●	789	2198	10	7	
●	789	2243	10	7	
INDEX	925	456	295	50	
.	1231	456	14	50	
●	921	1177	11	7	
●	967	1886	9	7	
●	968	2378	11	7	
●	969	2468	9	7	
