content	x	y	w	h	
946	372	906	120	83	
9	368	1488	61	61	
:	422	1488	32	60	
#	433	1488	31	60	
THAT	486	440	164	49	
BEAUTIFUL	682	440	344	49	
GOLDEN	1059	440	230	49	
GATE	1324	440	156	49	
.	1491	440	7	49	
Concluded	1562	440	253	49	
.	1820	440	12	49	
)	380	3068	48	60	
:	404	3067	38	60	
6	471	642	38	39	
8	466	688	45	38	
Solo	509	576	81	22	
.	595	576	10	22	
8	467	958	45	38	
풍	1791	745	42	49	
으로	1835	745	64	49	
통	1901	745	42	49	
Is	639	819	32	33	
there	683	819	89	33	
an-	782	819	57	33	
y	850	819	22	33	
one	906	819	55	33	
here	974	819	72	33	
who	1060	819	69	33	
is	1139	819	23	33	
not	1177	819	51	33	
prepared	1242	819	149	33	
to	1402	819	31	33	
en	1445	819	35	33	
-	1484	819	10	33	
ter	1498	819	49	33	
that	1560	819	72	33	
golden	1644	819	110	33	
gate	1782	819	74	33	
?	1859	819	15	33	
Be	1902	819	45	33	
111	485	3058	21	63	
read-	457	1383	89	34	
y	560	1383	20	34	
,	584	1383	6	34	
for	594	1383	47	34	
soon	650	1383	71	34	
the	732	1383	54	34	
time	797	1383	74	34	
will	884	1383	64	34	
come	956	1383	83	34	
to	1051	1383	31	34	
en	1091	1383	38	34	
-	1132	1383	11	34	
ter	1147	1383	49	34	
the	1208	1383	53	34	
golden	1272	1383	110	34	
gate	1419	1383	74	34	
.	1498	1383	4	34	
Don't	1519	1383	87	34	
let	1618	1383	44	34	
it	1693	1383	25	34	
be	1759	1383	37	34	
said	1810	1383	70	34	
,	1883	1383	7	34	
too	1895	1383	51	34	
3	402	1698	172	105	
late	460	1867	67	34	
,	530	1867	7	34	
too	540	1867	51	34	
late	596	1867	68	34	
,	668	1867	7	34	
to	685	1867	33	34	
enter	749	1867	132	34	
the	899	1867	53	34	
gold	963	1867	70	34	
-	1037	1867	11	34	
en	1048	1867	38	34	
gate	1133	1867	76	34	
;	1212	1867	7	34	
Be	1257	1867	41	34	
read	1310	1867	76	34	
-	1399	1867	13	34	
y	1422	1867	20	34	
,	1446	1867	7	34	
for	1486	1867	47	34	
soon	1542	1867	72	34	
the	1625	1867	53	34	
time	1689	1867	75	34	
will	1776	1867	65	34	
come	1850	1867	85	34	
to	1943	1867	35	34	
CHORUS	912	2171	180	24	
.	1096	2171	10	24	
Duet	1444	1114	99	24	
.	1548	1114	6	24	
Tenor	1577	1114	117	24	
and	1714	1114	72	24	
Alto	1814	1114	84	24	
.	1904	1114	8	24	
H	1352	1193	112	85	
en-	473	2407	54	33	
ter	538	2407	49	33	
that	600	2407	71	33	
golden	684	2407	111	33	
gate	831	2407	74	33	
.	911	2407	4	33	
That	928	2407	79	33	
beautiful	1020	2407	189	33	
,	1212	2407	7	33	
gold	1222	2407	70	33	
-	1296	2407	10	33	
en	1307	2407	39	33	
gate	1415	2406	74	33	
,	1493	2406	6	33	
That	1532	2406	79	33	
beautiful	1623	2406	192	34	
,	1820	2407	6	33	
gold	1829	2407	68	34	
-	1902	2408	12	33	
en	1915	2408	40	33	
B	793	2536	142	142	
-9	1131	3192	53	23	
Repeat	1710	2735	134	45	
.	1848	2741	7	39	
pp	1882	2743	44	41	
gate	487	2945	76	25	
;	564	2943	10	27	
Be	634	2941	41	31	
ready	688	2941	133	31	
,	824	2941	7	31	
for	862	2941	48	31	
soon	923	2941	71	31	
the	1006	2941	52	31	
time	1068	2941	74	31	
will	1155	2941	63	31	
come	1227	2941	83	31	
to	1321	2941	32	31	
enter	1362	2941	120	31	
that	1496	2941	72	31	
golden	1577	2941	111	31	
gate	1735	2941	75	31	
.	1812	2941	9	31	
