content	x	y	w	h	
194	318	226	115	46	
€	467	549	84	61	
Rixo	490	736	99	109	
OFF	333	942	167	95	
Ę	567	703	119	108	
I	560	872	17	34	
beheld	592	871	114	34	
,	710	870	7	34	
and	750	870	63	34	
€	459	978	89	62	
lo	961	874	34	24	
PASD	1267	230	113	51	
160	1259	229	116	41	
HEAVENLY	1451	219	501	58	
VISION	2026	219	306	58	
.	2336	219	17	58	
a	1361	881	19	17	
great	1482	879	94	29	
multi	1588	875	154	27	
VISION	2027	215	305	63	
.	2340	218	17	60	
THT	2399	218	180	63	
-	1787	891	16	5	
tude	1843	873	75	25	
which	1938	873	106	26	
no	2090	878	41	28	
man	2146	876	76	26	
could	2247	873	97	26	
Thousands	722	1559	195	38	
of	933	1559	37	38	
thousands	981	1559	179	38	
,	1166	1559	5	38	
and	1189	1559	63	38	
ten	1266	1559	56	38	
times	1338	1559	94	38	
thousands	1448	1559	176	38	
,	1631	1559	6	38	
Thousands	1654	1559	194	38	
of	1866	1559	33	38	
thousands	1914	1559	176	38	
,	2096	1559	6	38	
and	2119	1559	61	38	
ten	2196	1559	54	38	
times	2268	1559	92	38	
thousands	498	1799	178	37	
,	680	1799	6	37	
and	703	1799	64	37	
ten	782	1799	56	37	
times	882	1799	94	37	
thousands	992	1799	178	37	
,	1175	1799	6	37	
Thousands	1200	1799	193	37	
of	1411	1799	35	37	
thousands	1459	1799	178	37	
,	1642	1799	6	37	
and	1665	1799	64	37	
ten	1744	1799	54	37	
times	1820	1799	96	37	
thousands	1972	1807	178	26	
,	2152	1803	10	29	
OL	2500	364	31	43	
Thousands	459	2033	194	36	
of	669	2033	36	37	
thousands	718	2034	176	36	
,	899	2034	7	36	
and	923	2035	62	36	
ten	1002	2035	53	36	
times	1075	2035	93	37	
thousands	1185	2036	178	37	
,	1367	2037	6	36	
Thousands	1393	2037	193	37	
of	1604	2038	35	36	
thousands	1650	2038	179	37	
and	1845	2039	64	36	
ten	1937	2039	55	36	
times	2053	2042	93	32	
thousands	2162	2042	180	32	
,	2344	2042	9	32	
number	2402	875	140	28	
,	2544	876	8	28	
E	2471	1398	126	117	
thousands	2460	1563	178	32	
,	2641	1563	8	32	
1242	2490	1711	28	11	
Thousands	2568	1109	191	35	
of	2777	1109	38	35	
thousands	2822	1109	176	35	
and	3016	1109	61	35	
ten	3102	1109	52	35	
times	3172	1109	92	35	
thousands	3283	1109	178	35	
,	3464	1109	10	35	
Thousands	2308	1798	194	34	
of	2518	1799	35	33	
thousands	2566	1799	175	35	
,	2747	1801	5	33	
and	2770	1801	66	33	
ten	2891	1806	54	22	
times	2989	1805	94	22	
Thousands	3145	870	192	28	
of	3355	870	36	28	
Thousands	2574	2038	189	32	
of	2782	2038	35	32	
thousands	2858	2039	177	32	
,	3038	2040	10	32	
Thousands	3132	1561	192	27	
of	3341	1561	39	27	
thousands	3155	1801	179	28	
,	3337	1801	9	28	
and	3104	2042	62	25	
ten	3196	2042	54	25	
times	3295	2042	96	26	
