content	x	y	w	h	
76	386	219	66	43	
THE	1054	226	108	38	
RIVER	1202	226	153	38	
OF	1397	226	65	38	
LIFE	1506	226	112	38	
.	1624	226	11	38	
11s	1681	226	54	38	
.	1736	226	12	38	
1.	478	479	27	31	
Oh	522	479	45	31	
!	575	479	8	31	
there	595	479	85	31	
is	696	479	27	31	
a	735	479	17	31	
river	763	479	79	31	
whose	856	479	103	31	
fresh	965	479	82	31	
waters	1058	479	109	31	
flow	1177	479	68	31	
O'er	1255	479	69	31	
earth's	1335	479	110	31	
broadest	1454	479	142	31	
surface	1605	479	118	31	
,	1724	479	6	31	
a	1735	479	18	31	
cure	1760	479	69	31	
for	1837	479	45	31	
all	1890	479	43	31	
woe	1940	479	65	31	
:	2015	479	7	31	
Its	2031	479	45	31	
streams	2088	479	127	31	
are	2226	479	51	31	
all	2285	479	41	31	
使	512	567	55	110	
E	845	568	80	95	
Oh	616	716	49	33	
!	672	716	9	33	
drink	698	716	90	33	
of	799	716	35	33	
this	834	716	63	33	
river	910	716	79	33	
,	992	716	6	33	
its	1013	716	36	33	
full	1062	716	57	33	
crystal	1125	716	110	33	
flood	1244	716	76	33	
Refreshes	1338	716	161	33	
and	1510	716	58	33	
lightens	1575	716	132	33	
of	1718	716	35	33	
sin's	1759	716	70	33	
weary	1842	716	98	33	
load	1953	716	67	33	
;	2030	716	6	33	
Its	2047	716	43	33	
ripples	2101	716	111	33	
ne'er	2223	716	84	33	
This	599	760	75	36	
beautiful	684	760	151	36	
river	842	760	83	36	
our	937	760	55	36	
boast	1005	760	87	36	
well	1100	760	69	36	
may	1178	760	69	36	
be	1260	760	37	36	
,	1303	760	6	36	
'	1324	760	10	36	
Tis	1335	760	51	36	
fresh	1397	760	83	36	
,	1484	760	6	36	
o	1503	760	16	36	
-	1524	760	8	36	
ver	1534	760	53	36	
-	1588	760	10	36	
flowing	1599	760	121	36	
,	1723	760	6	36	
and	1743	760	61	36	
better	1813	760	98	36	
,	1914	760	7	36	
'	1929	760	8	36	
tis	1939	760	38	36	
free	1990	760	64	36	
!	2063	760	8	36	
The	2080	760	62	36	
sin	2155	760	47	36	
-	2203	760	9	36	
sick	2216	760	63	36	
re	2289	760	35	36	
23	528	837	75	36	
2	472	721	20	23	
.	493	721	8	23	
3	473	766	18	24	
.	491	766	7	24	
dute	477	1133	140	65	
healing	498	1262	124	33	
,	624	1262	6	33	
there's	634	1262	109	33	
life	751	1262	53	33	
in	814	1262	31	33	
each	856	1262	73	33	
wave	938	1262	85	33	
,	1026	1262	6	33	
Oh	1035	1262	42	33	
,	1084	1262	5	33	
try	1097	1262	48	33	
it	1158	1262	24	33	
and	1196	1262	60	33	
prove	1267	1262	93	33	
it	1371	1262	25	33	
,	1401	1262	5	33	
'	1415	1262	7	33	
tis	1425	1262	39	33	
mighty	1477	1262	118	33	
to	1602	1262	34	33	
save	1670	1262	72	33	
.	1744	1262	8	33	
最	421	1344	49	118	
件	510	1339	64	117	
。	561	1337	52	118	
BE	750	1349	172	79	
3	954	1370	84	60	
3	2032	1472	21	22	
mix	545	1494	67	34	
with	625	1494	74	34	
the	705	1494	53	34	
billows	766	1494	116	34	
of	891	1494	35	34	
strife	933	1494	84	34	
,	1023	1494	6	34	
This	1037	1494	70	34	
is	1118	1494	25	34	
the	1156	1494	53	34	
"	1217	1494	15	34	
Pure	1239	1494	79	34	
River	1326	1494	91	34	
of	1427	1494	34	34	
Water	1470	1494	106	34	
of	1588	1494	35	34	
Life	1653	1494	65	34	
.	1721	1494	8	34	
"	1732	1494	15	34	
Halle	1761	1494	87	34	
-	1849	1494	9	34	
lu	1859	1494	29	34	
-	1893	1494	11	34	
jah	1899	1494	53	34	
,	1957	1494	5	34	
A-	1998	1494	59	34	
men	2074	1494	70	34	
,	2149	1494	7	34	
Halle	2175	1494	91	34	
joice	500	1539	81	35	
in	594	1539	37	35	
this	641	1539	63	35	
"	714	1539	17	35	
peace	733	1539	93	35	
-	827	1539	10	35	
speaking	839	1539	145	35	
"	986	1539	16	35	
tide	1012	1539	59	35	
,	1075	1539	6	35	
This	1085	1539	69	35	
River	1163	1539	92	35	
is	1260	1539	27	35	
Jesus	1299	1539	88	35	
,	1391	1539	6	35	
the	1411	1539	53	35	
"	1475	1539	17	35	
once	1499	1539	72	35	
crucified	1578	1539	140	35	
.	1731	1539	7	35	
"	1741	1539	17	35	
9	2017	1145	70	71	
Hallelujah	1981	1260	209	31	
,	2194	1261	9	30	
Hallelujah	1982	1725	207	30	
,	2191	1727	8	28	
