content	x	y	w	h	
SOMETHING	318	387	233	32	
FOR	572	387	73	32	
JESUS	663	387	117	32	
.	783	387	6	32	
6s	824	387	34	32	
&	878	387	23	32	
4s	921	387	34	32	
.	959	387	7	32	
D.	999	387	37	32	
į	807	459	79	91	
4	354	744	39	34	
NEW	855	300	127	32	
CHRISTIAN	1011	299	292	31	
1	730	474	127	86	
연	1474	457	128	115	
Saviour	396	602	123	40	
,	523	602	4	40	
thy	541	602	58	40	
dying	615	602	97	40	
love	726	602	67	40	
Thou	810	602	81	40	
gavest	901	602	106	40	
me	1018	602	44	40	
;	1072	602	6	40	
Nor	1091	602	57	40	
should	1157	602	104	40	
I	1272	602	15	40	
aught	1298	602	95	40	
withhold	1404	602	144	40	
,	1553	602	4	40	
Dear	1568	602	78	40	
Lord	1657	602	74	40	
,	1737	602	4	40	
from	1752	602	71	40	
thee	1833	602	70	40	
:	1913	602	5	40	
♫	833	636	65	62	
In	272	1021	39	39	
love	317	1021	68	39	
my	395	1021	51	39	
soul	457	1021	65	39	
would	530	1021	96	39	
bow	638	1021	61	39	
,	704	1021	4	39	
My	721	1021	52	39	
heart	784	1021	86	39	
fulfill	880	1021	91	39	
its	982	1021	37	39	
vow	1031	1021	62	39	
,	1097	1021	6	39	
Some	1114	1021	80	39	
offering	1206	1021	123	39	
bring	1341	1021	88	39	
thee	1442	1021	68	39	
now	1522	1021	61	39	
,	1590	1021	3	39	
Something	1604	1021	175	39	
for	1788	1021	44	39	
thee	1841	1021	70	39	
.	1914	1021	7	39	
PER	393	1082	138	24	
2.2	638	1081	85	25	
.	721	1080	17	26	
4	349	2039	43	37	
583	249	1252	133	43	
SAVIOUR	296	1316	192	43	
,	492	1314	7	44	
thy	517	1314	76	44	
dying	612	1314	124	43	
love	753	1313	93	44	
Thou	341	1356	108	42	
gavest	468	1359	136	44	
me	623	1364	64	42	
;	694	1366	11	39	
Nor	296	1399	86	41	
should	397	1399	139	42	
I	553	1401	21	41	
aught	591	1401	122	42	
withhold	730	1402	192	43	
,	926	1404	12	41	
Dear	339	1450	101	40	
Lord	460	1450	103	40	
,	567	1450	6	40	
from	592	1450	100	40	
thee	710	1450	94	40	
:	811	1450	12	40	
In	293	1492	51	40	
love	357	1492	89	40	
my	465	1493	67	40	
soul	550	1493	86	41	
would	654	1494	126	40	
bow	799	1495	85	40	
,	889	1495	11	40	
My	295	1534	71	42	
heart	385	1535	111	43	
fulfill	513	1537	116	43	
its	645	1538	50	43	
vow	712	1539	86	43	
,	804	1541	10	42	
Some	295	1579	118	40	
offering	429	1580	166	41	
bring	614	1581	112	41	
thee	746	1582	94	41	
now	856	1583	90	40	
Something	339	1628	237	37	
for	592	1625	57	39	
thee	663	1624	93	39	
.	757	1623	10	40	
Copyright	895	1225	103	22	
,	1001	1223	4	24	
1871	1015	1223	44	24	
,	1063	1223	4	24	
by	1078	1222	24	24	
Biglow	1113	1222	69	23	
&	1192	1221	13	24	
Main	1216	1221	54	23	
.	1273	1220	5	24	
2	291	1684	25	41	
O'er	342	1684	90	42	
the	451	1686	68	41	
blest	537	1687	100	42	
mercy	654	1688	134	42	
-	792	1690	12	41	
seat	808	1690	81	42	
,	892	1691	10	41	
Pleading	340	1733	187	39	
for	544	1737	57	36	
me	618	1739	65	36	
,	685	1740	7	35	
My	293	1777	72	39	
feeble	383	1777	123	41	
faith	524	1779	97	40	
looks	639	1780	113	40	
up	767	1782	52	39	
,	824	1782	9	39	
Jesus	338	1825	114	38	
,	454	1825	8	38	
to	481	1825	39	38	
thee	537	1825	93	38	
;	640	1825	11	38	
4	352	2300	39	36	
JESUS	314	1924	118	35	
,	436	1924	7	35	
I	460	1924	16	35	
WILL	495	1924	104	35	
TRUST	618	1924	127	35	
THEE	764	1924	106	35	
.	875	1924	5	35	
6s	915	1924	31	35	
&	961	1924	24	35	
5s	999	1924	32	35	
.	1033	1924	6	35	
D.	1074	1924	37	35	
13	340	1996	45	30	
최	704	1976	94	116	
#	957	1996	108	95	
ROBERT	1572	387	133	25	
LOWRY	1726	387	115	26	
.	1843	388	10	25	
Help	1150	1317	107	40	
me	1274	1317	65	40	
the	1354	1317	69	40	
cross	1439	1317	103	40	
to	1557	1317	43	40	
bear	1616	1317	92	40	
,	1709	1317	8	40	
Thy	1148	1357	91	41	
wondrous	1252	1357	209	42	
love	1479	1358	89	41	
declare	1583	1358	151	42	
,	1736	1359	9	41	
Some	1147	1403	118	38	
song	1282	1404	97	39	
to	1396	1405	39	38	
raise	1452	1406	100	38	
,	1555	1407	6	38	
or	1583	1407	41	38	
prayer	1641	1407	141	40	
Something	1192	1449	234	39	
for	1444	1447	60	41	
thee	1518	1447	95	40	
.	1615	1446	10	41	
216	1052	2822	62	25	
3	1147	1516	21	31	
Give	1193	1516	101	31	
me	1311	1516	65	31	
a	1396	1516	21	31	
faithful	1436	1516	159	31	
heart	1611	1516	121	31	
Likeness	1192	1561	191	31	
to	1397	1561	41	31	
thee	1454	1561	95	31	
That	1147	1601	104	41	
each	1267	1602	98	41	
departing	1379	1603	208	43	
day	1603	1606	79	41	
Henceforth	1191	1647	243	39	
may	1455	1652	92	35	
see	1567	1654	62	35	
Some	1148	1691	115	37	
work	1287	1692	108	38	
of	1416	1693	42	37	
love	1477	1694	90	38	
begun	1585	1695	127	38	
,	1718	1696	10	37	
Some	1148	1734	119	39	
deed	1280	1735	97	39	
of	1394	1736	42	39	
kindness	1456	1736	190	40	
done	1663	1738	103	39	
,	1769	1739	9	39	
