content	x	y	w	h	
Rivers	310	324	103	27	
of	427	324	33	27	
life	471	324	55	27	
divine	541	324	100	27	
I	658	324	11	27	
see	684	324	49	27	
,	735	324	8	27	
And	343	358	65	27	
trees	424	358	76	27	
of	514	358	33	27	
paradise	559	358	136	27	
:	702	358	10	27	
I	309	390	14	29	
see	338	390	47	29	
a	401	390	16	29	
world	433	390	94	29	
of	539	390	31	29	
spirits	584	390	97	29	
bright	698	390	100	29	
,	800	390	7	29	
Who	343	422	72	29	
taste	429	422	77	29	
the	519	422	51	29	
pleasures	584	422	148	29	
there	748	422	85	29	
;	841	422	9	29	
They	309	455	80	31	
all	402	455	41	31	
are	457	455	51	31	
robed	522	455	90	31	
in	628	455	30	31	
spotless	675	455	122	31	
white	812	455	92	31	
,	905	455	7	31	
And	340	490	67	29	
conquering	422	489	181	29	
palms	619	487	94	30	
they	728	486	70	30	
bear	811	486	70	29	
.	884	485	8	30	
4	306	540	19	30	
O	340	540	23	30	
what	380	540	79	30	
are	472	540	52	30	
all	537	540	40	30	
my	592	540	48	30	
sufferings	655	540	158	30	
here	827	540	71	30	
,	901	540	7	30	
If	340	575	28	27	
,	370	574	6	28	
Lord	393	574	74	27	
,	471	573	5	28	
thou	492	573	71	28	
count	579	572	88	27	
me	684	571	46	28	
meet	745	571	78	27	
With	308	604	79	31	
that	402	604	64	31	
enraptured	481	604	179	31	
host	674	604	65	31	
to	753	604	31	31	
appear	798	604	111	31	
,	912	604	7	31	
And	342	639	63	28	
worship	420	638	127	29	
at	561	638	32	28	
thy	606	637	52	29	
feet	672	637	61	29	
!	745	637	6	29	
TIME	650	248	106	29	
AND	788	248	91	29	
ETERNITY	913	248	222	29	
-	1138	248	27	29	
HEAVEN	1179	248	184	29	
.	1366	248	9	29	
Give	307	672	74	29	
joy	394	672	49	29	
or	458	672	31	29	
grief	504	672	79	29	
,	585	672	5	29	
give	607	672	68	29	
ease	690	672	68	29	
or	771	672	32	29	
pain	816	672	71	29	
,	891	672	8	29	
Take	342	700	78	29	
life	435	700	52	30	
or	503	701	32	29	
friends	550	701	113	30	
away	679	703	83	29	
,	765	703	7	29	
But	308	737	58	27	
let	381	737	42	27	
me	437	737	46	27	
find	499	737	59	27	
them	574	737	79	27	
all	670	737	40	27	
again	724	737	89	27	
In	340	768	33	27	
that	388	768	65	27	
eternal	467	768	114	28	
day	596	769	56	27	
.	656	770	8	27	
FOURTH	562	872	112	16	
PART	690	872	69	16	
.	762	872	5	16	
1033	309	900	151	38	
Communion	487	901	179	39	
with	677	903	66	37	
saints	753	904	91	37	
in	853	904	30	38	
heaven	893	905	102	38	
.	995	906	9	37	
1	307	957	15	32	
COME	339	956	86	32	
,	428	956	5	32	
let	449	955	41	32	
us	506	955	33	32	
join	554	955	62	31	
our	632	954	53	32	
friends	701	954	114	31	
above	829	953	95	31	
That	341	989	73	30	
have	428	989	77	30	
obtained	519	989	140	30	
the	675	989	50	30	
prize	743	989	80	30	
,	824	989	5	30	
And	307	1023	67	29	
on	389	1023	36	29	
the	441	1023	50	29	
eagle	505	1023	84	29	
wings	605	1023	96	29	
of	715	1023	32	29	
love	759	1023	67	29	
To	341	1056	38	28	
joys	393	1055	63	29	
celestial	472	1054	132	28	
rise	617	1053	59	28	
.	678	1052	7	29	
Let	307	1086	53	29	
all	374	1086	41	29	
the	428	1086	51	29	
saints	493	1086	92	30	
terrestrial	600	1087	165	29	
sing	778	1087	68	30	
,	848	1088	9	29	
With	341	1118	78	28	
those	433	1119	86	28	
to	531	1120	29	28	
glory	577	1120	81	29	
gone	673	1122	76	28	
;	755	1123	12	28	
For	308	1152	55	28	
all	377	1152	40	28	
the	431	1152	49	28	
servants	495	1152	133	29	
of	644	1153	30	28	
our	689	1153	55	28	
King	758	1153	76	28	
,	839	1154	7	28	
In	339	1185	35	27	
earth	389	1185	85	27	
and	486	1185	59	27	
heaven	559	1185	114	28	
,	678	1186	5	27	
are	698	1186	49	27	
one	762	1186	58	28	
.	821	1187	8	27	
2	305	1238	17	29	
One	339	1238	64	29	
family	415	1238	104	29	
we	535	1238	44	29	
dwell	595	1238	86	29	
in	696	1238	31	29	
him	743	1238	60	29	
,	807	1238	7	29	
One	339	1272	63	27	
church	416	1272	110	27	
above	541	1272	93	27	
,	637	1272	5	27	
beneath	659	1272	124	27	
,	788	1272	6	27	
Though	307	1302	122	31	
now	444	1302	65	31	
divided	527	1302	118	31	
by	662	1302	34	31	
the	713	1302	49	31	
stream	774	1302	110	31	
,	888	1302	7	31	
The	340	1338	58	26	
narrow	413	1337	115	26	
stream	546	1336	107	26	
,	659	1335	5	27	
of	682	1335	30	27	
death	727	1335	87	26	
.	819	1334	7	27	
One	305	1369	63	30	
army	381	1369	83	30	
of	477	1369	32	30	
the	523	1369	49	30	
living	587	1369	92	30	
God	698	1369	60	30	
,	762	1369	6	30	
To	339	1401	40	26	
his	397	1401	44	26	
command	456	1401	155	26	
we	629	1402	44	26	
bow	688	1402	64	26	
;	761	1402	9	26	
CHARLES	720	807	109	13	
WESLEY	845	807	98	13	
.	945	807	5	13	
Part	304	1435	73	28	
of	390	1435	33	28	
his	437	1435	43	28	
host	497	1435	66	28	
have	577	1435	75	28	
crossed	668	1435	116	28	
the	797	1435	52	28	
flood	863	1435	76	28	
,	942	1435	7	28	
And	338	1468	68	28	
part	420	1468	65	28	
are	500	1468	51	28	
crossing	565	1468	132	28	
now	710	1468	67	28	
.	781	1468	8	28	
BURLINGTON	338	1570	320	22	
.	666	1568	7	24	
b	327	1814	36	28	
-	361	1814	34	28	
4	393	1814	27	28	
l.b.	294	2337	72	31	
SEGA	531	1655	25	3	
C.	745	1571	39	23	
M.	808	1571	51	23	
3	1052	320	15	27	
Ten	1085	319	59	27	
thousand	1160	319	144	27	
to	1320	318	30	27	
their	1365	318	77	27	
endless	1458	318	114	27	
home	1587	317	88	27	
This	1087	355	66	26	
solemn	1168	355	113	26	
moment	1297	355	130	26	
fly	1443	355	34	26	
;	1486	355	10	26	
And	1052	384	69	32	
we	1135	384	47	32	
are	1196	384	50	32	
to	1260	384	29	32	
