content	x	y	w	h	
b	416	1112	33	36	
bb	424	1383	71	47	
b²	433	2848	44	35	
b	409	3178	32	37	
b	431	3225	33	34	
4	513	762	43	41	
4	513	1113	41	34	
1.	562	898	31	29	
O	642	897	30	30	
2	560	950	23	31	
.	586	950	10	31	
3	560	1007	23	41	
.	586	1007	10	41	
Father	799	899	134	40	
,	934	899	8	40	
with	968	899	85	40	
the	1073	899	60	40	
sig	1181	899	51	40	
-	1249	899	13	40	
net	1280	899	60	40	
Of	1375	899	53	40	
thy	1482	899	61	40	
un-	1568	899	77	40	
dying	1661	899	105	40	
love	1825	899	82	40	
,	1911	899	8	40	
For	1945	899	71	40	
Wouldst	644	950	164	32	
Thou	830	951	98	31	
di	946	951	31	31	
-	981	951	9	31	
rect	995	951	75	32	
me	1091	952	55	31	
thith	1192	954	91	38	
-	1293	954	14	38	
er	1317	954	38	38	
O'er	1374	954	79	39	
yon	1480	955	70	38	
tempestuous	1566	956	239	39	
flood	1824	957	91	38	
,	1922	957	7	38	
My	1947	958	62	38	
Speak	644	1007	117	41	
,	767	1007	7	41	
Lord	811	1007	93	41	
,	909	1007	5	41	
thy	935	1007	60	41	
servant	1013	1007	143	41	
heareth	1178	1007	144	41	
,	1328	1007	5	41	
And	1373	1007	80	41	
gladly	1477	1007	117	41	
will	1611	1007	72	41	
o	1722	1007	18	41	
-	1764	1007	15	41	
bey	1807	1007	70	41	
;	1887	1007	8	41	
What	1930	1007	111	41	
6	638	1595	9	5	
ev	563	1586	44	20	
seal	788	1579	76	27	
er	683	1588	38	19	
my	957	1582	59	34	
faith	563	1632	85	27	
in	679	1633	34	27	
Thee	785	1634	95	27	
is	953	1633	33	28	
384	600	2060	64	4	
Teach	560	2211	115	29	
And	558	2267	77	27	
What	560	2324	103	26	
Let	558	2961	66	26	
With	559	3017	96	25	
I'll	555	3070	59	27	
"	969	516	24	27	
HERE	1000	515	186	27	
AM	1224	514	92	27	
I.	1345	514	36	27	
"	1379	514	25	27	
9⁹	1380	514	29	27	
·	865	1138	8	7	
-	683	2339	13	5	
e'er	560	1685	72	39	
Thou	656	1685	101	39	
wouldst	774	1685	148	40	
,	929	1686	5	39	
my	959	1686	57	39	
Fa	1051	1686	53	39	
-	1117	1687	13	39	
ther	1145	1687	78	39	
,	1228	1687	6	39	
Make	1278	1687	106	39	
known	1429	1688	129	39	
to	1571	1688	34	39	
me	1651	1689	57	39	
,	1711	1689	11	39	
fif	924	1750	185	124	
ev	722	2330	40	21	
PEN	944	2096	33	2	
100	1096	1426	36	58	
S	1027	3031	10	4	
SE	1177	1443	21	7	
I	1447	1581	18	25	
thine	1501	1581	98	25	
own	1651	1589	79	29	
may	1777	1589	79	30	
prove	1901	1590	113	30	
.	2016	1591	12	29	
spirit	1053	1579	167	32	
,	1222	1575	8	36	
That	1280	1574	93	34	
anchored	1054	1631	177	35	
,	1235	1631	7	35	
Thou	1283	1631	100	35	
knowest	1432	1631	160	35	
my	1652	1644	59	30	
best	1785	1631	83	34	
good	1908	1634	90	36	
.	2005	1636	8	33	
I	1803	1691	20	27	
pray	1909	1700	87	26	
.	2000	1699	7	27	
me	722	2214	55	29	
to	835	2214	36	27	
know	916	2207	102	40	
Thy	1046	2207	78	41	
voice	1169	2208	99	41	
,	1275	2209	6	40	
Though	1309	2209	150	41	
tem-	1504	2211	109	40	
pests	1634	2212	94	40	
may	1753	2212	80	41	
de	1858	2213	43	40	
-	1924	2214	15	40	
fy	1958	2213	40	38	
;	2005	2213	13	38	
hear	916	2266	84	36	
Thy	1040	2266	78	36	
call	1164	2266	71	36	
O	1301	2267	33	30	
when	725	2268	101	26	
I	839	2268	17	26	
may	1508	2279	83	26	
I	1677	2268	22	27	
ply	1963	2271	64	33	
e'er	1754	2271	68	27	
re	1858	2275	38	26	
int	1749	2320	52	33	
'	1801	2321	10	32	
-	1826	2322	12	32	
rests	1851	2323	88	34	
try	1957	2326	54	35	
,	2016	2328	9	32	
er	824	2331	38	19	
cares	910	2326	97	29	
op	1036	2331	41	27	
press	1163	2333	99	24	
,	1268	2327	10	30	
What	1304	2325	107	25	
ev	1508	2333	43	20	
er	1660	2333	37	18	
F	1113	2339	12	5	
me	713	2970	55	17	
be	813	2960	45	27	
clothed	927	2955	138	40	
with	1088	2955	85	41	
grace	1198	2956	102	40	
To	1327	2956	50	40	
