content	x	y	w	h	
G.	380	446	36	29	
F.	431	447	32	29	
Thompson	480	448	185	34	
.	666	453	8	29	
16	466	231	48	32	
2p	329	952	150	89	
2	330	1507	112	108	
,	421	1507	51	107	
9	327	2760	70	84	
:	399	2760	19	83	
·	418	2830	25	35	
D	422	2829	27	35	
64	523	616	76	60	
Chorus	410	1676	182	30	
.	594	1676	13	30	
ff	523	1744	68	50	
²	455	1854	38	52	
-	457	1853	33	52	
b²	487	1853	53	52	
I	982	349	15	49	
SHALL	1032	349	186	50	
REST	1256	350	148	50	
MY	1442	351	80	50	
SOUL	1559	352	145	50	
.	1707	353	15	49	
"	921	449	18	33	
Sorrow	944	449	124	33	
and	1083	449	59	34	
sighing	1158	450	127	33	
shall	1299	451	81	33	
flee	1394	451	57	33	
away	1466	451	85	34	
.	1552	452	9	33	
"	1566	452	16	33	
-	1587	452	29	33	
Isa	1620	452	53	34	
35	1684	453	32	33	
;	1723	453	8	33	
10	1745	453	33	33	
.	1783	453	10	33	
ܕ	493	2175	45	70	
ܐ	480	2175	11	69	
9	1264	738	36	30	
I	641	812	21	28	
am	720	821	53	18	
wait	824	813	83	36	
-	908	812	11	37	
ing	924	812	60	37	
for	1019	812	52	36	
the	1099	811	66	37	
dark	1238	811	84	28	
-	1326	812	12	27	
ness	1343	812	78	28	
Then	558	1370	100	38	
I'll	675	1370	59	39	
wor	747	1371	69	38	
ship	833	1372	79	38	
in	957	1373	36	38	
the	1033	1373	63	38	
bright	1151	1375	117	36	
-	1268	1372	11	38	
ness	1284	1372	79	37	
High	553	1999	98	39	
be	667	1999	43	39	
yond	726	1999	96	39	
the	840	1999	62	39	
swel	917	1999	84	39	
-	1003	1999	11	39	
ling	1015	1999	77	39	
ff	519	2081	68	50	
bil	1192	1998	50	34	
-	1243	1999	10	33	
lows	1256	2000	83	36	
,	1347	2003	7	33	
In	584	2625	42	30	
the	664	2625	60	30	
shad	753	2625	85	31	
-	845	2626	8	30	
ow	859	2626	49	30	
of	952	2626	42	31	
the	1033	2627	62	30	
willow	1149	2631	167	25	
2.	333	2976	40	50	
I	401	2976	20	50	
am	443	2976	63	50	
passing	530	2976	169	50	
down	718	2976	122	50	
the	861	2976	70	50	
valley	952	2976	140	50	
To	405	3024	64	48	
the	489	3024	69	49	
swelling	581	3025	185	50	
Jordans	787	3027	181	50	
bank	1000	3030	113	49	
;	1119	3031	13	48	
Soon	398	3078	113	48	
I'll	532	3080	66	47	
gather	618	3082	145	48	
with	784	3085	96	47	
the	903	3087	70	47	
many	1005	3089	128	49	
In	404	3133	51	49	
that	475	3133	91	50	
high	586	3134	99	50	
and	707	3135	83	50	
happy	813	3136	143	50	
rank	976	3138	107	50	
.	1084	3139	10	49	
of	1543	813	39	29	
this	1614	813	70	29	
sin	1716	813	53	29	
ful	1814	813	50	29	
life	1900	813	62	29	
-	1529	2018	11	5	
of	1506	1378	40	35	
my	1557	1377	57	36	
home	1630	1376	104	35	
sweet	1749	1375	106	35	
home	1870	1374	102	35	
at	1988	1373	38	35	
28	1789	1421	138	150	
O	1486	2011	21	18	
ver	1559	2013	58	17	
on	1662	2003	43	27	
the	1746	2003	59	27	
oth	1843	2003	61	27	
-	1923	2003	11	27	
er	1951	2003	37	27	
W.	2007	454	48	27	
H.	2067	454	39	27	
Sherwood	2121	454	168	27	
.	2293	454	7	27	
I	1449	2628	16	31	
shall	1504	2629	88	34	
rest	1615	2633	68	32	
my	1707	2635	55	33	
wea	1801	2638	72	34	
to	2014	819	41	23	
pass	2111	823	80	31	
,	2193	826	8	27	
ry	1917	2644	41	24	
soul	1993	2638	79	22	
.	2071	2632	13	27	
8	2128	946	54	54	
:	2167	946	27	54	
last	2091	1375	75	29	
d	2106	1446	68	86	
.	2161	1446	28	86	
1²	1981	1824	160	135	
shore	2055	2002	103	35	
,	2164	2006	9	31	
£	2201	1548	51	38	
other	2098	2328	103	25	
shore	2213	2328	102	25	
happy	2072	2902	117	38	
soul	2203	2899	80	38	
.	2283	2897	12	40	
3.	1394	2979	49	47	
While	1478	2979	136	48	
I	1632	2980	21	47	
here	1674	2981	101	47	
the	1795	2982	70	47	
cross	1888	2983	114	47	
am	2026	2984	64	47	
bearing	2112	2984	176	49	
Meeting	1476	3036	189	46	
storms	1686	3036	153	46	
of	1859	3036	48	46	
sorrows	1923	3036	176	46	
wild	2121	3036	94	46	
;	2219	3036	13	46	
Christ	1476	3083	144	50	
is	1638	3084	35	50	
for	1694	3085	66	50	
my	1779	3086	71	50	
soul	1881	3087	93	50	
preparing	1995	3089	224	51	
,	2222	3092	9	49	
Robe	1474	3142	120	41	
and	1619	3142	83	41	
crown	1724	3142	137	41	
that's	1883	3142	124	41	
undefiled	2029	3142	211	41	
.	2250	3142	12	41	
▬▬	2311	2574	14	64	
▬▬▬▬▬	2309	2764	14	121	
