content	x	y	w	h	
33	1374	214	54	34	
Q.	312	308	45	49	
75.	374	308	56	49	
Whom	464	309	126	50	
did	611	310	71	49	
God	702	311	86	49	
from	806	312	101	49	
eternity	936	313	154	50	
predestinate	1110	314	249	51	
,	1361	316	8	49	
or	1388	317	42	49	
elect	261	361	88	42	
to	364	361	35	42	
everlasting	416	362	221	43	
life	648	363	71	42	
?	725	364	23	42	
A.	318	406	48	46	
All	399	406	67	47	
those	489	407	112	47	
who	620	408	84	46	
,	709	409	7	46	
accepting	739	409	203	47	
his	971	411	60	46	
gracious	1061	412	177	47	
call	1267	413	74	47	
,	1343	414	8	46	
re	1372	414	41	46	
pent	261	461	95	47	
and	375	461	75	47	
believe	470	461	144	48	
in	636	462	36	47	
the	696	462	63	47	
Lord	780	462	102	48	
Jesus	900	463	113	47	
Christ	1036	463	126	48	
,	1167	464	6	47	
and	1193	464	77	47	
remain	1284	464	146	48	
faithful	260	517	151	34	
to	432	516	39	35	
the	493	515	63	35	
end	578	515	73	35	
.	656	515	9	35	
DECREES	457	218	176	28	
AND	662	219	81	28	
PROVIDENCE	776	219	257	29	
OF	1065	221	46	28	
GOD	1141	221	77	28	
.	1224	221	8	28	
Q.	313	580	45	44	
76.	376	580	54	44	
Why	464	580	94	44	
did	574	580	70	44	
God	673	580	86	44	
determine	788	580	201	44	
to	1008	580	36	44	
condemn	1062	580	179	44	
others	1260	580	119	44	
to	1391	580	42	44	
eternal	262	626	139	44	
punishment	411	626	240	44	
?	657	626	23	44	
A.	318	670	49	50	
Because	395	670	173	52	
they	587	672	89	51	
resisted	699	673	157	51	
the	886	675	66	50	
Holy	976	676	104	51	
Spirit	1105	677	124	51	
,	1235	678	6	50	
rejected	1263	678	167	52	
the	262	728	65	47	
offers	348	728	113	47	
of	481	728	44	47	
mercy	548	728	125	47	
,	678	728	6	47	
and	707	728	74	47	
died	803	728	89	47	
in	913	728	38	47	
their	972	728	99	47	
sins	1092	728	77	47	
.	1173	728	10	47	
Q.	313	791	46	45	
77.	376	791	55	45	
What	466	792	112	45	
duties	594	793	119	45	
does	732	794	85	45	
the	836	794	61	46	
doctrine	922	795	167	46	
of	1106	796	41	45	
divine	1166	797	128	45	
provi	1306	798	114	45	
dence	264	841	111	41	
require	390	842	147	42	
of	553	845	42	40	
