content	x	y	w	h	
INDEX	635	300	206	34	
OF	891	300	70	34	
SCRIPTURE	1011	300	356	34	
REFERENCES	1415	300	424	34	
.	1843	300	12	34	
12	306	434	45	42	
:	364	434	17	42	
10	396	434	41	42	
-	439	434	31	42	
In	483	434	43	42	
whose	544	434	120	42	
hand	680	434	95	42	
is	792	434	30	42	
the	838	434	63	42	
soul	916	434	79	42	
of	1011	434	40	42	
every	1069	434	106	42	
living	1191	434	116	42	
thing	1322	434	104	42	
,	1431	434	7	42	
and	1454	434	69	42	
the	1540	434	65	42	
breath	1614	434	123	42	
.....	1744	434	101	42	
14	307	477	43	39	
:	365	477	17	39	
2	414	477	24	39	
-	439	477	34	39	
He	486	477	53	39	
cometh	556	477	138	39	
forth	713	477	93	39	
like	824	477	74	39	
a	915	477	20	39	
flower	953	477	119	39	
and	1087	477	69	39	
is	1173	477	29	39	
cut	1220	477	59	39	
down	1296	477	103	39	
;	1414	477	8	39	
he	1448	477	44	39	
fleeth	1510	477	105	39	
also	1641	477	75	39	
...	1722	477	57	39	
14	307	522	45	41	
:	366	522	14	41	
10	395	522	41	41	
-	438	522	33	41	
But	483	522	71	41	
man	568	522	82	41	
dieth	668	522	98	41	
and	782	522	69	41	
wasteth	868	522	149	41	
away	1037	522	100	41	
;	1150	522	9	41	
yea	1178	522	68	41	
,	1249	522	7	41	
man	1273	522	83	41	
giveth	1373	522	121	41	
up	1514	522	49	41	
the	1575	522	65	41	
ghost	1654	522	107	41	
.	1767	522	8	41	
14	308	564	42	42	
:	364	564	15	42	
14	396	564	44	42	
-	436	564	33	42	
All	484	564	58	42	
the	559	564	62	42	
days	637	564	86	42	
of	741	564	39	42	
my	799	564	59	42	
appointed	876	564	189	42	
time	1085	564	85	42	
will	1187	564	73	42	
I	1278	564	16	42	
wait	1313	564	83	42	
,	1401	564	6	42	
till	1429	564	55	42	
my	1501	564	58	42	
change	1579	564	135	42	
come	1728	564	98	42	
.	1830	564	9	42	
14	308	608	44	37	
:	367	608	13	37	
15	397	608	40	37	
-	438	608	29	37	
Thou	483	608	103	37	
shalt	603	608	95	37	
call	715	608	69	37	
,	788	608	6	37	
and	814	608	71	37	
I	903	608	16	37	
will	936	608	72	37	
answer	1025	608	136	37	
thee	1174	608	81	37	
;	1270	608	8	37	
thou	1301	608	88	37	
wilt	1407	608	76	37	
have	1500	608	90	37	
a	1607	608	19	37	
desire	1643	608	114	37	
to	1778	608	37	37	
..	1816	608	27	37	
16	308	650	42	44	
19	399	650	41	44	
-	439	650	34	44	
My	484	650	62	44	
witness	564	650	144	44	
is	726	650	26	44	
in	772	650	33	44	
heaven	823	650	135	44	
,	962	650	7	44	
and	986	650	70	44	
my	1072	650	61	44	
record	1149	650	119	44	
is	1287	650	30	44	
on	1334	650	44	44	
high	1395	650	88	44	
....	1487	650	80	44	
16	307	695	42	41	
:	367	695	15	41	
22	393	695	45	41	
-	441	695	33	41	
I	481	695	16	41	
shall	515	695	94	41	
go	626	695	46	41	
the	691	695	61	41	
way	768	695	79	41	
whence	864	695	145	41	
I	1027	695	15	41	
shall	1059	695	90	41	
not	1167	695	63	41	
return	1246	695	120	41	
..	1377	695	32	41	
19	307	738	43	40	
25	391	738	47	40	
-	436	738	26	40	
For	481	738	68	40	
I	566	738	15	40	
know	599	738	103	40	
that	722	738	77	40	
my	817	738	59	40	
Redeemer	895	738	191	40	
liveth	1101	738	114	40	
,	1219	738	6	40	
and	1242	738	69	40	
that	1329	738	78	40	
he	1424	738	44	40	
shall	1484	738	95	40	
stand	1592	738	103	40	
.	1703	738	11	40	
22	303	778	46	43	
:	368	778	14	43	
23	394	778	45	43	
-	439	778	32	43	
If	483	778	37	43	
thou	536	778	87	44	
return	642	779	120	43	
to	781	780	35	43	
the	834	780	61	43	
Almighty	913	780	188	44	
,	1104	781	7	43	
thou	1129	781	90	43	
shalt	1236	781	94	44	
be	1347	782	42	43	
built	1406	782	92	43	
up	1514	783	49	43	
...	1571	783	57	43	
3-0	416	827	93	37	
that	527	826	78	37	
I	624	826	14	37	
knew	656	826	105	36	
where	781	825	119	37	
I	918	825	14	37	
might	950	824	118	37	
find	1085	824	71	36	
him	1181	823	76	37	
...	1265	823	58	37	
23	303	828	46	36	
23	305	873	45	37	
10	396	872	39	38	
-	437	872	31	38	
But	482	872	71	37	
he	572	871	44	38	
knoweth	633	871	168	37	
the	821	870	62	38	
way	900	870	78	37	
that	995	869	78	38	
I	1087	869	17	38	
take	1118	869	86	37	
..	1205	868	25	38	
29	303	913	47	42	
2-0	413	913	94	42	
that	525	913	80	42	
I	622	913	14	42	
were	656	913	90	42	
as	762	913	36	42	
in	816	913	36	42	
months	871	913	143	42	
past	1032	913	77	42	
as	1126	913	37	42	
in	1179	913	36	42	
the	1234	913	61	42	
days	1308	913	86	42	
when	1412	913	105	42	
God	1534	913	76	42	
.	1617	913	10	42	
30	306	956	44	41	
23	393	956	46	41	
-	441	956	31	41	
For	485	956	65	41	
I	564	956	14	41	
know	596	956	104	41	
that	718	956	79	41	
thou	813	956	88	41	
wilt	920	956	76	41	
bring	1013	956	105	41	
me	1137	956	56	41	
to	1208	956	38	41	
death	1262	956	109	41	
..	1377	956	29	41	
38	306	1002	45	39	
7	417	1002	21	39	
-	438	1002	32	39	
When	485	1002	118	39	
the	620	1002	61	39	
morning	700	1002	165	39	
stars	884	1002	89	39	
sang	992	1002	91	39	
together	1099	1002	163	39	
and	1278	1002	69	39	
all	1365	1002	49	39	
the	1430	1002	61	39	
sons	1509	1002	81	39	
of	1607	1002	39	39	
God	1666	1002	74	39	
..	1749	1002	32	39	
...	1727	768	50	5	
19	309	1749	41	40	
19	308	1793	44	40	
19	309	1836	43	41	
19	308	1879	43	39	
PSALMS	310	1094	148	45	
1	482	1094	22	45	
:	518	1094	16	45	
1	549	1094	23	45	
-	573	1094	34	45	
Blessed	614	1094	141	45	
is	773	1094	28	45	
the	820	1094	61	45	
man	899	1094	83	45	
that	999	1094	80	45	
walketh	1096	1094	159	45	
not	1273	1094	65	45	
in	1353	1094	36	45	
the	1407	1094	63	45	
counsel	1486	1094	144	45	
of	1643	1094	42	45	
the	1701	1094	64	45	
ungodly	1781	1094	160	45	
.......	1946	1094	147	45	
631	2117	1094	62	45	
8	416	1140	25	39	
-	442	1140	34	39	
Ask	485	1140	73	39	
of	575	1140	40	39	
me	634	1140	58	39	
,	695	1140	6	39	
and	722	1140	69	39	
I	809	1140	15	39	
shall	843	1140	92	39	
give	952	1140	84	39	
thee	1053	1140	84	39	
the	1153	1140	63	39	
heathen	1232	1140	154	39	
for	1408	1140	53	39	
thine	1478	1140	101	39	
inheritance	1596	1140	220	39	
..	1818	1140	30	39	
8	417	1183	24	39	
-	440	1183	30	39	
For	486	1183	67	39	
thou	568	1183	87	39	
,	660	1183	6	39	
Lord	685	1183	90	39	
,	780	1183	6	39	
only	805	1183	83	39	
makest	902	1183	141	39	
me	1062	1183	55	39	
dwell	1136	1183	107	39	
in	1259	1183	36	39	
safety	1314	1183	113	39	
.	1430	1183	9	39	
...	1469	1183	60	39	
.	2087	1145	17	30	
390	2115	1144	67	30	
2	327	1143	23	28	
:	366	1145	12	28	
4	326	1190	27	30	
:	366	1190	15	30	
5	328	1226	25	42	
11	309	1270	44	43	
:	367	1270	17	43	
15	310	1317	40	26	
:	367	1318	12	25	
..	1836	1169	30	6	
23	307	2010	48	42	
:	368	2010	15	42	
1	421	2010	19	42	
-	443	2010	32	42	
The	484	2010	78	42	
Lord	578	2010	91	42	
is	685	2010	29	42	
my	734	2010	57	42	
shepherd	810	2010	178	42	
;	1003	2010	7	42	
I	1036	2010	15	42	
shall	1071	2010	91	42	
not	1181	2010	62	42	
want	1261	2010	97	42	
.....	1364	2010	100	42	
23	305	2050	48	39	
2	417	2050	24	39	
-	442	2050	31	39	
He	486	2050	54	40	
maketh	558	2051	147	39	
me	722	2051	56	40	
to	796	2052	37	39	
lie	851	2052	46	39	
down	915	2052	102	40	
in	1036	2053	37	39	
green	1093	2053	105	40	
pastures	1218	2054	162	40	
.	1385	2055	10	39	
23	306	2103	45	24	
2	417	2097	23	33	
-	443	2097	31	33	
He	487	2097	53	33	
leadeth	556	2097	141	33	
me	715	2097	55	33	
beside	788	2097	119	33	
the	925	2097	62	33	
still	1005	2097	74	33	
waters	1100	2097	126	33	
....	1233	2097	77	33	
281	2089	307	90	38	
HYMN	2080	412	97	18	
133	2111	440	69	30	
553	2113	484	67	30	
584	2112	528	68	29	
696	2114	572	62	28	
376	2113	616	65	29	
541	2113	658	65	30	
567	2113	703	65	28	
200	2113	747	66	27	
.	2076	790	12	29	
238	2112	789	67	29	
.	2078	835	10	28	
252	2114	834	63	27	
170	2113	877	66	27	
434	2112	919	67	28	
555	2111	965	68	25	
92	2135	1006	47	30	
...	2030	463	52	7	
.	2086	1189	14	29	
34	2139	1189	46	29	
3	417	1226	25	42	
-	441	1226	33	42	
My	482	1226	63	42	
voice	560	1226	98	42	
shalt	676	1226	94	42	
thou	786	1226	87	42	
hear	892	1226	87	42	
in	995	1226	35	42	
the	1049	1226	63	42	
morning	1128	1226	167	42	
,	1300	1226	5	42	
O	1325	1226	27	42	
Lord	1371	1226	90	42	
,	1467	1226	5	42	
in	1493	1226	35	42	
the	1547	1226	61	42	
morning	1625	1226	166	42	
will	1807	1226	75	42	
I	1898	1226	14	42	
direct	1928	1226	111	42	
...	2042	1226	50	42	
682	2119	1226	65	42	
1	418	1270	22	43	
-	440	1270	33	43	
In	484	1270	43	43	
the	542	1270	64	43	
Lord	623	1270	89	43	
put	730	1270	64	43	
I	811	1270	16	43	
my	845	1270	59	43	
trust	925	1270	93	43	
;	1031	1270	7	43	
how	1063	1270	81	43	
say	1164	1270	62	43	
ye	1243	1270	45	43	
to	1305	1270	35	43	
my	1358	1270	59	43	
soul	1435	1270	77	43	
,	1517	1270	7	43	
Flee	1543	1270	82	43	
as	1642	1270	35	43	
a	1696	1270	18	43	
bird	1733	1270	76	43	
to	1827	1270	36	43	
your	1875	1270	91	43	
......	1971	1270	126	43	
690	2120	1270	65	43	
1	419	1313	22	42	
-	441	1313	32	42	
Lord	485	1313	90	42	
,	579	1313	7	42	
who	604	1313	80	42	
shall	700	1313	95	42	
abide	811	1313	102	42	
in	929	1313	35	42	
thy	985	1313	64	42	
tabernacle	1069	1313	204	42	
?	1286	1313	15	42	
Who	1338	1313	98	42	
shall	1453	1313	91	42	
dwell	1561	1313	107	42	
in	1684	1313	35	42	
thy	1738	1313	63	42	
holy	1819	1313	84	42	
hill	1920	1313	65	42	
?	1995	1313	17	42	
....	2012	1313	83	42	
459	2119	1313	66	42	
6	417	1352	22	43	
-	441	1352	32	43	
The	486	1352	75	43	
lines	573	1353	90	43	
