content	x	y	w	h	
#	305	258	41	40	
4	360	277	63	53	
4	361	347	57	47	
9	274	535	32	39	
#	308	535	34	39	
3	440	325	32	28	
62	290	1686	106	32	
4	339	1733	54	46	
H.	527	201	39	22	
886	574	201	51	22	
.	628	201	9	22	
5	508	293	30	30	
Slow	405	1387	99	25	
.	513	1388	10	24	
3	419	1486	33	28	
3	576	325	28	30	
3	504	878	35	29	
B	630	878	36	29	
3	519	1489	30	27	
5	640	291	31	31	
H.	556	1349	39	21	
164	606	1349	49	21	
.	659	1349	6	21	
to	561	1431	14	11	
4	738	306	30	31	
1.	284	436	30	38	
Whither	329	436	154	38	
goest	495	436	91	38	
thou	599	436	79	38	
,	686	436	5	38	
pilgrim	707	436	133	38	
stranger	856	436	153	38	
,	1013	436	6	38	
Passing	1037	436	139	38	
thro	1190	436	75	38	
'	1268	436	8	38	
this	1288	436	67	38	
darksome	1370	436	179	38	
vale	1562	436	75	38	
?	1648	436	14	38	
)	1671	436	21	38	
Know'st	331	473	151	37	
thou	498	473	81	37	
not	597	473	57	38	
'	670	474	7	37	
t	682	474	11	37	
is	704	474	25	37	
full	747	474	62	37	
of	826	474	36	37	
danger	880	474	125	38	
,	1012	475	5	37	
And	1035	475	76	37	
will	1129	475	69	38	
not	1215	476	58	37	
thy	1289	476	62	37	
courage	1368	476	140	38	
fail	1526	477	60	37	
?	1596	477	16	37	
4	358	552	68	55	
2	580	2013	36	29	
6	532	2257	36	32	
5	580	2275	33	27	
6	803	272	34	32	
1	665	2226	30	30	
44	733	1172	102	27	
4	870	306	33	30	
4	711	1977	36	32	
3	938	325	30	28	
16	724	2257	35	31	
55-5	1040	292	108	29	
I	1704	475	16	39	
am	1732	475	53	39	
bound	1801	475	113	39	
for	1927	475	50	39	
the	1985	475	58	39	
kingdom	2056	475	162	39	
,	2224	475	6	39	
Will	2248	475	79	39	
you	2341	475	65	39	
go	2424	475	39	39	
to	2480	475	32	39	
glory	2527	475	97	39	
with	2640	475	81	39	
me	2739	475	54	39	
?	2805	475	14	39	
Hal	2858	475	67	39	
-	2930	475	11	39	
le	2946	475	30	39	
-	2980	475	11	39	
lu	2995	475	32	39	
-	3034	475	12	39	
jah	3046	475	58	39	
!	3118	475	8	39	
0	3150	475	24	39	
,	3176	475	7	39	
praise	3202	475	109	39	
ye	3327	475	41	39	
the	3384	475	58	39	
Lord	3459	475	87	39	
.	3549	475	8	39	
#	2012	572	124	103	
4-1-1-1-1	363	625	306	44	
1-1-1-1	742	634	220	28	
1	1362	634	36	30	
1	1495	634	35	31	
5.	284	712	30	38	
Pilgrim	329	712	140	38	
!	484	712	9	38	
see	515	712	54	38	
that	585	712	75	38	
stream	676	712	118	38	
before	815	712	111	38	
thee	941	712	76	38	
,	1022	712	5	38	
Darkly	1047	712	128	38	
winding	1193	712	150	38	
thro	1360	712	76	38	
'	1439	712	8	38	
the	1463	712	56	38	
vale	1537	712	74	38	
;	1626	712	8	38	
l	1645	712	15	38	
}	1642	718	29	70	
Should	329	751	126	40	
its	470	751	39	40	
deadly	525	751	121	40	
waves	661	751	106	40	
roll	781	751	60	40	
o'er	854	751	67	40	
thee	930	751	77	40	
,	1011	751	5	40	
Would	1034	751	115	40	
not	1164	751	55	40	
then	1230	751	81	40	
thy	1324	751	61	40	
courage	1399	751	138	40	
fail	1552	751	59	40	
?	1622	751	13	40	
No	1679	751	51	40	
,	1734	751	6	40	
I'm	1757	751	62	40	
bound	1836	751	111	40	
for	1961	751	48	40	
the	2020	751	58	40	
kingdom	2092	751	159	40	
,	2260	751	6	40	
Will	2282	751	76	40	
you	2375	751	64	40	
go	2457	751	39	40	
to	2513	751	32	40	
glory	2561	751	93	40	
with	2671	751	81	40	
me	2771	751	53	40	
?	2836	751	13	40	
Halle	2874	751	100	40	
-	2978	751	11	40	
lu	2994	751	33	40	
-	3034	751	11	40	
jah	3047	751	57	40	
!	3119	751	8	40	
O	3151	751	23	40	
,	3179	751	7	40	
praise	3202	751	108	40	
ye	3326	751	41	40	
the	3381	751	61	40	
Lord	3458	751	86	40	
.	3546	751	10	40	
1	804	794	27	28	
1	1053	795	25	27	
1	1120	795	25	27	
6	736	826	35	30	
6	867	827	33	29	
6	1180	826	36	31	
6	3008	826	37	29	
15-5	2674	843	99	35	
5	3161	844	29	30	
45	362	835	114	46	
5	572	846	32	31	
04	257	895	162	46	
排	3532	830	110	125	
6.	283	989	31	38	
No	328	989	49	38	
,	382	989	7	38	
that	407	989	74	38	
stream	497	989	119	38	
has	638	989	57	38	
nothing	715	989	140	38	
frightful	873	989	155	38	
,	1034	989	6	38	
To	1060	989	42	38	
its	1120	989	38	38	
bank	1177	989	89	38	
my	1284	989	55	38	
steps	1357	989	87	38	
I	1463	989	12	38	
bend	1495	989	85	38	
;	1597	989	8	38	
1	1616	989	14	38	
There	327	1029	110	40	
to	456	1029	32	40	
plunge	511	1029	127	40	
will	661	1029	69	40	
be	752	1029	39	40	
delightful	814	1029	180	40	
,	1001	1029	6	40	
Then	1022	1029	94	40	
my	1134	1029	59	40	
pilgrimage	1210	1029	204	40	
will	1429	1029	72	40	
end	1516	1029	66	40	
.	1586	1029	8	40	
For	1651	1029	61	40	
I'm	1729	1029	69	40	
bound	1818	1029	113	40	
